catmaid_name,skid,name,fly_name,color,type,type_color,type_col,type_col_color,type_col_v2,type_col_color_v2,fly_instance,instance_col,ignore,,type_density,type_color_density
EPG_LZ_L2_2_SH_HH_MS,55944,EPG_L2_55944,EPG_L2_697001770,#E066FF,EPGt,#6a74cc,EPG_L2,#00BAB5,Delta7_L1L9,#90B24F,EPG(PB08)_L1,#00CD66,PEN_a_L2_112687,,EPGt,#6a74cc
EPG_LZ_L2_3_SH_MS_HH,55952,EPG_L2_55952,EPG_L2_912545106,#00868B,EPG,#34B887,EPG_L2,#00BAB5,Delta7_L2R7,#90B24F,PEG(PB07)_L1,#00868B,PEN_b_L2_112713,,EPG,#05A0D2
EPG_LZ_L3_ID_1,57529,EPG_L3_57529,na,#CD4F39,PEG,#EF506C,EPG_L3,#00BAB5,Delta7_L3R6,#90B24F,EPGt(PB09)_R9,#6a74cc,PEN_a_L3_63772,,PEG,#ED5A3D
EPG_LZ_L3_ID_2,57518,EPG_L3_57518,na,#A2CD5A,LNO,#CD4F39,EPG_L3,#00BAB5,Delta7_L4R5,#90B24F,EPGt(PB09)_L9,#A2CD5A,PEN_b_L3_63776,,LNO,#CD4F39
EPG_LZ_L3_ID_SH,54939,EPG_L3_54939,na,#FFB90F,PEN,#F09E00,EPG_L3,#00BAB5,Delta7_L4R6,#90B24F,EPG(PB08)_R1,#FFB90F,PEN_L4_35091,,PEN,#F09E00
EPG_LY_L4_SH,34955,EPG_L4_34955,na,#00CD66,PEN_b,#7DCAFF,EPG_L4,#00BAB5,Delta7_L5R4,#90B24F,PEG(PB07)_R1,#00CD66,PEN_L4_35224,,PEN_b,#56B4E9
EPG_LY_L4_SH,35304,EPG_L4_35304,na,#63B8FF,PEN_a,#FFD700,EPG_L4,#00BAB5,Delta7_L6R3,#90B24F,,,PEN_L4_99084,,PEN_a,#E69F00
EPG_LY_L4_SH_AZ,34187,EPG_L4_34187,na,#1E90FF,PEN_a(PEN_a),#F09E00,EPG_L4,#00BAB5,Delta7_L6R4,#90B24F,,,PEN_L4_35368,,PEN_a(PEN_a),#05A0D2
PEG_L2_55930,55930,PEG_L2_55930,PEG_L2_1190171884,#FFD700,PEN_b(PEN_b),#6EBADD,PEG_L2,#FFAEB9,Delta7_L7R2,#90B24F,,,PEN_L5_34931,,PEN_b(PEN_b),#ED5A3D
PEG_L3_99063,99063,PEG_L3_99063,na,#0000FF,ExR,#EF506C,PEG_L3,#FFAEB9,Delta7_L7R3,#90B24F,,,PEN_L5_35102,,ExR,#EF506C
PEG_L4_35097,35097,PEG_L4_35097,PEG_R9_1125969082,#E066FF,LAL,#FF9D94,PEG_L4,#FFAEB9,Delta7_L8R1,#90B24F,,,PEN_L6_34205,,LAL,#E82B5E
