index,type,subtype,count
0,Delta7,L1L9R8,6
1,Delta7,L2R7,5
2,Delta7,L3R6,6
3,Delta7,L4R5,5
4,Delta7,L5R4,5
5,Delta7,L6R3,6
6,Delta7,L7R2,5
7,Delta7,L8R1R9,4
8,EPG,R9,2
9,EPG,R8,4
10,EPG,R7,3
11,EPG,R6,3
12,EPG,R5,3
13,EPG,R4,3
14,EPG,R3,3
15,EPG,R2,2
16,EPG,R1,2
17,EPG,L1,2
18,EPG,L2,2
19,EPG,L3,3
20,EPG,L4,3
21,EPG,L5,3
22,EPG,L6,3
23,EPG,L7,3
24,EPG,L8,4
25,EPG,L9,2
26,PEG,R9,1
27,PEG,R8,1
28,PEG,R7,1
29,PEG,R6,1
30,PEG,R5,1
31,PEG,R4,1
32,PEG,R3,1
33,PEG,R2,1
34,PEG,R1,1
35,PEG,L1,1
36,PEG,L2,1
37,PEG,L3,1
38,PEG,L4,1
39,PEG,L5,1
40,PEG,L6,1
41,PEG,L7,1
42,PEG,L8,1
43,PEG,L9,1
44,PEN_a,R9,1
45,PEN_a,R8,1
46,PEN_a,R7,1
47,PEN_a,R6,2
48,PEN_a,R5,1
49,PEN_a,R4,2
50,PEN_a,R3,1
51,PEN_a,R2,1
52,PEN_a,L2,1
53,PEN_a,L3,1
54,PEN_a,L4,2
55,PEN_a,L5,1
56,PEN_a,L6,1
57,PEN_a,L7,1
58,PEN_a,L8,1
59,PEN_a,L9,1
60,PEN_b,R9,2
61,PEN_b,R8,1
62,PEN_b,R7,1
63,PEN_b,R6,2
64,PEN_b,R5,2
65,PEN_b,R4,2
66,PEN_b,R3,1
67,PEN_b,R2,1
68,PEN_b,L2,1
69,PEN_b,L3,1
70,PEN_b,L4,2
71,PEN_b,L5,1
72,PEN_b,L6,2
73,PEN_b,L7,1
74,PEN_b,L8,1
75,PEN_b,L9,2
