index,type,subtype
0,Delta7,L1L9R8
1,Delta7,L2R7
2,Delta7,L3R6
3,Delta7,L4R5
4,Delta7,L5R4
5,Delta7,L6R3
6,Delta7,L7R2
7,Delta7,L8R1R9
8,EPG,R9
9,EPG,R8
10,EPG,R7
11,EPG,R6
12,EPG,R5
13,EPG,R4
14,EPG,R3
15,EPG,R2
16,EPG,R1
17,EPG,L1
18,EPG,L2
19,EPG,L3
20,EPG,L4
21,EPG,L5
22,EPG,L6
23,EPG,L7
24,EPG,L8
25,EPG,L9
26,PEG,R9
27,PEG,R8
28,PEG,R7
29,PEG,R6
30,PEG,R5
31,PEG,R4
32,PEG,R3
33,PEG,R2
34,PEG,R1
35,PEG,L1
36,PEG,L2
37,PEG,L3
38,PEG,L4
39,PEG,L5
40,PEG,L6
41,PEG,L7
42,PEG,L8
43,PEG,L9
44,PEN_a,R9
45,PEN_a,R8
46,PEN_a,R7
47,PEN_a,R6
48,PEN_a,R5
49,PEN_a,R4
50,PEN_a,R3
51,PEN_a,R2
52,PEN_a,L2
53,PEN_a,L3
54,PEN_a,L4
55,PEN_a,L5
56,PEN_a,L6
57,PEN_a,L7
58,PEN_a,L8
59,PEN_a,L9
60,PEN_b,R9
61,PEN_b,R8
62,PEN_b,R7
63,PEN_b,R6
64,PEN_b,R5
65,PEN_b,R4
66,PEN_b,R3
67,PEN_b,R2
68,PEN_b,L2
69,PEN_b,L3
70,PEN_b,L4
71,PEN_b,L5
72,PEN_b,L6
73,PEN_b,L7
74,PEN_b,L8
75,PEN_b,L9
