index,bodyId,type,subtype
0,881221166,Delta7,L1L9R8
1,911574261,Delta7,L1L9R8
2,911911004,Delta7,L1L9R8
3,911919917,Delta7,L1L9R8
4,5813061383,Delta7,L1L9R8
5,911470352,Delta7,L2R7
6,911574041,Delta7,L2R7
7,911578496,Delta7,L2R7
8,911911699,Delta7,L2R7
9,942522378,Delta7,L2R7
10,910783961,Delta7,L3R6
11,911565419,Delta7,L3R6
12,911906936,Delta7,L3R6
13,941469087,Delta7,L3R6
14,910442782,Delta7,L4R6
15,911901802,Delta7,L4R6
16,880880259,Delta7,L4R5
17,910442723,Delta7,L4R5
18,911129339,Delta7,L4R5
19,911134009,Delta7,L4R5
20,911138168,Delta7,L4R5
21,880530613,Delta7,L5R4
22,880875736,Delta7,L5R4
23,910796989,Delta7,L5R4
24,910801332,Delta7,L5R4
25,5813048042,Delta7,L5R4
26,911211196,Delta7,L6R4
27,911241750,Delta7,L6R4
28,734581598,Delta7,L6R3
29,911919044,Delta7,L6R3
30,941482720,Delta7,L6R3
31,941814787,Delta7,L6R3
32,973959177,Delta7,L6R3
33,941810314,Delta7,L7R2
34,911129204,Delta7,L7R2
35,912243353,Delta7,L7R2
36,1158747783,Delta7,L7R3
37,910442752,Delta7,L8R1R9
38,910783731,Delta7,L8R1R9
39,910783883,Delta7,L8R1R9
40,911578595,Delta7,L8R1R9
41,911911193,Delta7,L8R1R9
42,1168659995,EPG,R9
43,1219069439,EPG,R9
44,1125964814,EPG,R8
45,1126647624,EPG,R8
46,5813040233,EPG,R8
47,5813061251,EPG,R8
48,1002507159,EPG,R7
49,1002852791,EPG,R7
50,1034219901,EPG,R7
51,910438331,EPG,R6
52,941132434,EPG,R6
53,942491983,EPG,R6
54,694920753,EPG,R5
55,725951521,EPG,R5
56,5813027103,EPG,R5
57,416642425,EPG,R4
58,633546217,EPG,R4
59,695956656,EPG,R4
60,478375456,EPG,R3
61,541118908,EPG,R3
62,5813080838,EPG,R3
63,632544268,EPG,R2
64,695629525,EPG,R2
65,5813014873,EPG,R1
66,5813077544,EPG,R1
67,572870540,EPG,L1
68,1447576662,EPG,L1
69,697001770,EPG,L2
70,912545106,EPG,L2
71,387364605,EPG,L3
72,449438847,EPG,L3
73,758419409,EPG,L3
74,634962055,EPG,L4
75,665314820,EPG,L4
76,5813022281,EPG,L4
77,696362840,EPG,L5
78,789126240,EPG,L5
79,819828986,EPG,L5
80,541870397,EPG,L6
81,788794171,EPG,L6
82,912601268,EPG,L6
83,1004017998,EPG,L7
84,1035045015,EPG,L7
85,5813012006,EPG,L7
86,1065410141,EPG,L8
87,1127476096,EPG,L8
88,1167995070,EPG,L8
89,1168664495,EPG,L8
90,1168660239,EPG,L9
91,1168664447,EPG,L9
92,1125969082,PEG,R9
93,5813059834,PEG,R8
94,1002848661,PEG,R7
95,912147912,PEG,R6
96,5813014882,PEG,R5
97,942173776,PEG,R4
98,974239375,PEG,R3
99,972555509,PEG,R2
100,848761388,PEG,R1
101,1128088594,PEG,L1
102,1190171884,PEG,L2
103,974300015,PEG,L3
104,942587380,PEG,L4
105,880875861,PEG,L5
106,881898734,PEG,L6
107,1004014587,PEG,L7
108,1065409934,PEG,L8
109,1199677638,PEG,L9
110,1218732640,PEN_a,R9
111,1125964630,PEN_a,R8
112,1002507131,PEN_a,R7
113,663190769,PEN_a,R6
114,847336755,PEN_a,R6
115,910447075,PEN_a,R5
116,509410587,PEN_a,R4
117,5813056953,PEN_a,R4
118,570461892,PEN_a,R3
119,972892437,PEN_a,R2
120,634608104,PEN_a,L2
121,1508334312,PEN_a,L3
122,757055317,PEN_a,L4
123,849482511,PEN_a,L4
124,5813080979,PEN_a,L5
125,664645558,PEN_a,L6
126,1380495496,PEN_a,L6
127,508793049,PEN_a,L7
128,1127471692,PEN_a,L8
129,1220576923,PEN_a,L9
130,1218728570,PEN_b,R9
131,1601771527,PEN_b,R9
132,1062526223,PEN_b,R8
133,693755250,PEN_b,R7
134,941123755,PEN_b,R6
135,1197993940,PEN_b,R6
136,849421763,PEN_b,R5
137,569775058,PEN_b,R4
138,663562172,PEN_b,R4
139,973566036,PEN_b,R3
140,724280817,PEN_b,R2
141,5813047157,PEN_b,L2
142,5813070465,PEN_b,L3
143,387023620,PEN_b,L4
144,539462336,PEN_b,L4
145,1631450739,PEN_b,L5
146,664650297,PEN_b,L6
147,879183317,PEN_b,L6
148,1318109929,PEN_b,L7
149,1353544607,PEN_b,L8
150,1220584946,PEN_b,L9
151,1600083889,PEN_b,L9
