bodyId_pre,bodyId_post,roi,count,type_pre,instance_pre,type_post,instance_post,PB_post,EB_post,NO_post,relative_weight_PB,relative_weight_EB,relative_weight_NO,type_pre_col,type_post_col,pre_name,post_name
387023620,387364605,EB,66,PEN_b,PEN_b(PB06b)_L4,EPG,EPG(PB08)_L3,265,3892,0,0.0,0.01695786228160329,0.0,PEN_b_L4,EPG_L3,PEN_b_L4_387023620,EPG_L3_387364605
387023620,449438847,EB,52,PEN_b,PEN_b(PB06b)_L4,EPG,EPG(PB08)_L3,331,4070,0,0.0,0.012776412776412777,0.0,PEN_b_L4,EPG_L3,PEN_b_L4_387023620,EPG_L3_449438847
387023620,508793049,NO,6,PEN_b,PEN_b(PB06b)_L4,PEN_a,PEN_a(PB06a)_L7,274,814,505,0.0,0.0,0.011881188118811881,PEN_b_L4,PEN_a_L7,PEN_b_L4_387023620,PEN_a_L7_508793049
387023620,539462336,NO,30,PEN_b,PEN_b(PB06b)_L4,PEN_b,PEN_b(PB06b)_L4,698,520,388,0.0,0.0,0.07731958762886598,PEN_b_L4,PEN_b_L4,PEN_b_L4_387023620,PEN_b_L4_539462336
387023620,539462336,EB,8,PEN_b,PEN_b(PB06b)_L4,PEN_b,PEN_b(PB06b)_L4,698,520,388,0.0,0.015384615384615385,0.0,PEN_b_L4,PEN_b_L4,PEN_b_L4_387023620,PEN_b_L4_539462336
387023620,634608104,NO,13,PEN_b,PEN_b(PB06b)_L4,PEN_a,PEN_a(PB06a)_L2,627,817,747,0.0,0.0,0.01740294511378849,PEN_b_L4,PEN_a_L2,PEN_b_L4_387023620,PEN_a_L2_634608104
387023620,664645558,NO,10,PEN_b,PEN_b(PB06b)_L4,PEN_a,PEN_a(PB06a)_L6,262,679,432,0.0,0.0,0.023148148148148147,PEN_b_L4,PEN_a_L6,PEN_b_L4_387023620,PEN_a_L6_664645558
387023620,664650297,NO,21,PEN_b,PEN_b(PB06b)_L4,PEN_b,PEN_b(PB06b)_L6,410,436,375,0.0,0.0,0.056,PEN_b_L4,PEN_b_L6,PEN_b_L4_387023620,PEN_b_L6_664650297
387023620,697001770,EB,11,PEN_b,PEN_b(PB06b)_L4,EPG,EPG(PB08)_L2,316,3659,0,0.0,0.003006285870456409,0.0,PEN_b_L4,EPG_L2,PEN_b_L4_387023620,EPG_L2_697001770
387023620,758419409,EB,43,PEN_b,PEN_b(PB06b)_L4,EPG,EPG(PB08)_L3,215,3801,0,0.0,0.011312812417784793,0.0,PEN_b_L4,EPG_L3,PEN_b_L4_387023620,EPG_L3_758419409
387023620,849482511,NO,11,PEN_b,PEN_b(PB06b)_L4,PEN_a,PEN_a(PB06a)_L4,568,650,368,0.0,0.0,0.029891304347826088,PEN_b_L4,PEN_a_L4,PEN_b_L4_387023620,PEN_a_L4_849482511
387023620,879183317,NO,27,PEN_b,PEN_b(PB06b)_L4,PEN_b,PEN_b(PB06b)_L6,385,425,406,0.0,0.0,0.0665024630541872,PEN_b_L4,PEN_b_L6,PEN_b_L4_387023620,PEN_b_L6_879183317
387023620,910438331,EB,18,PEN_b,PEN_b(PB06b)_L4,EPG,EPG(PB08)_R6,239,3481,0,0.0,0.005170927894283252,0.0,PEN_b_L4,EPG_R6,PEN_b_L4_387023620,EPG_R6_910438331
387023620,912545106,EB,14,PEN_b,PEN_b(PB06b)_L4,EPG,EPG(PB08)_L2,321,3798,0,0.0,0.003686150605581885,0.0,PEN_b_L4,EPG_L2,PEN_b_L4_387023620,EPG_L2_912545106
387023620,941132434,EB,6,PEN_b,PEN_b(PB06b)_L4,EPG,EPG(PB08)_R6,204,3158,0,0.0,0.0018999366687777073,0.0,PEN_b_L4,EPG_R6,PEN_b_L4_387023620,EPG_R6_941132434
387023620,942491983,EB,10,PEN_b,PEN_b(PB06b)_L4,EPG,EPG(PB08)_R6,293,3256,0,0.0,0.003071253071253071,0.0,PEN_b_L4,EPG_R6,PEN_b_L4_387023620,EPG_R6_942491983
387023620,1002507159,EB,40,PEN_b,PEN_b(PB06b)_L4,EPG,EPG(PB08)_R7,231,3938,0,0.0,0.01015744032503809,0.0,PEN_b_L4,EPG_R7,PEN_b_L4_387023620,EPG_R7_1002507159
387023620,1002852791,EB,24,PEN_b,PEN_b(PB06b)_L4,EPG,EPG(PB08)_R7,239,3834,0,0.0,0.006259780907668232,0.0,PEN_b_L4,EPG_R7,PEN_b_L4_387023620,EPG_R7_1002852791
387023620,1034219901,EB,54,PEN_b,PEN_b(PB06b)_L4,EPG,EPG(PB08)_R7,176,3813,0,0.0,0.014162077104642014,0.0,PEN_b_L4,EPG_R7,PEN_b_L4_387023620,EPG_R7_1034219901
387023620,1062526223,EB,13,PEN_b,PEN_b(PB06b)_L4,PEN_b,PEN_b(PB06b)_R8,839,773,567,0.0,0.016817593790426907,0.0,PEN_b_L4,PEN_b_R8,PEN_b_L4_387023620,PEN_b_R8_1062526223
387023620,1126647624,EB,6,PEN_b,PEN_b(PB06b)_L4,EPG,EPG(PB08)_R8,217,2696,0,0.0,0.002225519287833828,0.0,PEN_b_L4,EPG_R8,PEN_b_L4_387023620,EPG_R8_1126647624
387023620,1127471692,NO,17,PEN_b,PEN_b(PB06b)_L4,PEN_a,PEN_a(PB06a)_L8,327,853,633,0.0,0.0,0.026856240126382307,PEN_b_L4,PEN_a_L8,PEN_b_L4_387023620,PEN_a_L8_1127471692
387023620,1220576923,NO,11,PEN_b,PEN_b(PB06b)_L4,PEN_a,PEN_a(PB06a)_L9,324,899,605,0.0,0.0,0.01818181818181818,PEN_b_L4,PEN_a_L9,PEN_b_L4_387023620,PEN_a_L9_1220576923
387023620,1220584946,NO,22,PEN_b,PEN_b(PB06b)_L4,PEN_b,PEN_b(PB06b)_L9,355,482,506,0.0,0.0,0.043478260869565216,PEN_b_L4,PEN_b_L9,PEN_b_L4_387023620,PEN_b_L9_1220584946
387023620,1292847181,EB,6,PEN_b,PEN_b(PB06b)_L4,ER4m,ER4m(ring)_R,0,1558,0,0.0,0.0038510911424903724,0.0,PEN_b_L4,ER4m_R,PEN_b_L4_387023620,ER4m_R_1292847181
387023620,1318109929,NO,10,PEN_b,PEN_b(PB06b)_L4,PEN_b,PEN_b(PB06b)_L7,438,792,540,0.0,0.0,0.018518518518518517,PEN_b_L4,PEN_b_L7,PEN_b_L4_387023620,PEN_b_L7_1318109929
387023620,1353544607,NO,29,PEN_b,PEN_b(PB06b)_L4,PEN_b,PEN_b(PB06b)_L8,458,691,646,0.0,0.0,0.04489164086687306,PEN_b_L4,PEN_b_L8,PEN_b_L4_387023620,PEN_b_L8_1353544607
387023620,1380495496,NO,7,PEN_b,PEN_b(PB06b)_L4,PEN_a,PEN_a(PB06a)_L6,279,553,445,0.0,0.0,0.015730337078651686,PEN_b_L4,PEN_a_L6,PEN_b_L4_387023620,PEN_a_L6_1380495496
387023620,1508334312,NO,10,PEN_b,PEN_b(PB06b)_L4,PEN_a,PEN_a(PB06a)_L3,533,831,567,0.0,0.0,0.01763668430335097,PEN_b_L4,PEN_a_L3,PEN_b_L4_387023620,PEN_a_L3_1508334312
387023620,1539994995,NO,22,PEN_b,PEN_b(PB06b)_L4,GLNO,GLNO(LAL-NO1)_R,0,0,800,0.0,0.0,0.0275,PEN_b_L4,GLNO,PEN_b_L4_387023620,GLNO_1539994995
387023620,1600083889,NO,19,PEN_b,PEN_b(PB06b)_L4,PEN_b,PEN_b(PB06b)_L9,446,535,524,0.0,0.0,0.03625954198473282,PEN_b_L4,PEN_b_L9,PEN_b_L4_387023620,PEN_b_L9_1600083889
387023620,1600420555,NO,19,PEN_b,PEN_b(PB06b)_L4,GLNO,GLNO(LAL-NO1)_R,0,0,904,0.0,0.0,0.02101769911504425,PEN_b_L4,GLNO,PEN_b_L4_387023620,GLNO_1600420555
387023620,1631450739,NO,14,PEN_b,PEN_b(PB06b)_L4,PEN_b,PEN_b(PB06b)_L5,852,659,450,0.0,0.0,0.03111111111111111,PEN_b_L4,PEN_b_L5,PEN_b_L4_387023620,PEN_b_L5_1631450739
387023620,5813047157,NO,28,PEN_b,PEN_b(PB06b)_L4,PEN_b,PEN_b(PB06b)_L2,753,679,524,0.0,0.0,0.05343511450381679,PEN_b_L4,PEN_b_L2,PEN_b_L4_387023620,PEN_b_L2_5813047157
387023620,5813047793,EB,7,PEN_b,PEN_b(PB06b)_L4,ER4m,ER4m(ring)_L,0,1522,0,0.0,0.0045992115637319315,0.0,PEN_b_L4,ER4m_L,PEN_b_L4_387023620,ER4m_L_5813047793
387023620,5813050767,EB,7,PEN_b,PEN_b(PB06b)_L4,ER4m,ER4m(ring)_R,0,1630,0,0.0,0.004294478527607362,0.0,PEN_b_L4,ER4m_R,PEN_b_L4_387023620,ER4m_R_5813050767
387023620,5813070465,NO,15,PEN_b,PEN_b(PB06b)_L4,PEN_b,PEN_b(PB06b)_L3,1007,745,499,0.0,0.0,0.03006012024048096,PEN_b_L4,PEN_b_L3,PEN_b_L4_387023620,PEN_b_L3_5813070465
387023620,5813080979,NO,6,PEN_b,PEN_b(PB06b)_L4,PEN_a,PEN_a(PB06a)_L5,451,748,451,0.0,0.0,0.013303769401330377,PEN_b_L4,PEN_a_L5,PEN_b_L4_387023620,PEN_a_L5_5813080979
387364605,387023620,EB,21,EPG,EPG(PB08)_L3,PEN_b,PEN_b(PB06b)_L4,776,559,365,0.0,0.03756708407871199,0.0,EPG_L3,PEN_b_L4,EPG_L3_387364605,PEN_b_L4_387023620
387364605,449438847,EB,61,EPG,EPG(PB08)_L3,EPG,EPG(PB08)_L3,331,4070,0,0.0,0.014987714987714987,0.0,EPG_L3,EPG_L3,EPG_L3_387364605,EPG_L3_449438847
387364605,539462336,EB,23,EPG,EPG(PB08)_L3,PEN_b,PEN_b(PB06b)_L4,698,520,388,0.0,0.04423076923076923,0.0,EPG_L3,PEN_b_L4,EPG_L3_387364605,PEN_b_L4_539462336
387364605,734581598,PB,13,EPG,EPG(PB08)_L3,Delta7,Delta7(PB15)_L6R3_L,1033,0,0,0.012584704743465635,0.0,0.0,EPG_L3,Delta7_L6R3,EPG_L3_387364605,Delta7_L6R3_734581598
