pre_skid,post_skid,pre_name,post_name,roi,count,type_pre_col,type_post_col,type_pre,type_post,relative_weight_PB,relative_weight_EB,relative_weight_NO,PB_post,EB_post,NO_post
56351,56356,PEG_R8_56351,EPG_R8_56356,EB,76,PEG_R8,EPG_R8,PEG,EPG,0.0,0.013254272758981514,0.0,0.0,5734.0,0.0
63772,56356,PEN_b_L3_63772,EPG_R8_56356,EB,62,PEN_b_L3,EPG_R8,PEN_b,EPG,0.0,0.010812696198116497,0.0,0.0,5734.0,0.0
108339,56356,PEN_a_R9_108339,EPG_R8_56356,EB,58,PEN_a_R9,EPG_R8,PEN_a,EPG,0.0,0.010115102895012208,0.0,0.0,5734.0,0.0
64257,56356,PEN_b_R9_64257,EPG_R8_56356,EB,41,PEN_b_R9,EPG_R8,PEN_b,EPG,0.0,0.007150331356818975,0.0,0.0,5734.0,0.0
112713,56356,PEN_a_L2_112713,EPG_R8_56356,EB,41,PEN_a_L2,EPG_R8,PEN_a,EPG,0.0,0.007150331356818975,0.0,0.0,5734.0,0.0
63776,56356,PEN_a_L3_63776,EPG_R8_56356,EB,39,PEN_a_L3,EPG_R8,PEN_a,EPG,0.0,0.006801534705266829,0.0,0.0,5734.0,0.0
108315,56356,PEN_b_R9_108315,EPG_R8_56356,EB,38,PEN_b_R9,EPG_R8,PEN_b,EPG,0.0,0.006627136379490757,0.0,0.0,5734.0,0.0
55936,56356,EPG_R8_55936,EPG_R8_56356,EB,36,EPG_R8,EPG_R8,EPG,EPG,0.0,0.006278339727938612,0.0,0.0,5734.0,0.0
57041,56356,ER_R_LAL_57041,EPG_R8_56356,EB,34,ER_R_LAL,EPG_R8,LAL,EPG,0.0,0.005929543076386466,0.0,0.0,5734.0,0.0
118407,56356,PEN_a_R8_118407,EPG_R8_56356,EB,34,PEN_a_R8,EPG_R8,PEN_a,EPG,0.0,0.005929543076386466,0.0,0.0,5734.0,0.0
65369,56356,ER_L_MBUv_65369,EPG_R8_56356,EB,24,ER_L_MBUv,EPG_R8,MBUv,EPG,0.0,0.004185559818625741,0.0,0.0,5734.0,0.0
55930,56356,PEG_L2_55930,EPG_R8_56356,EB,18,PEG_L2,EPG_R8,PEG,EPG,0.0,0.003139169863969306,0.0,0.0,5734.0,0.0
63126,56356,ER_R_MBUv_63126,EPG_R8_56356,EB,17,ER_R_MBUv,EPG_R8,MBUv,EPG,0.0,0.002964771538193233,0.0,0.0,5734.0,0.0
47185,56356,ER_R_MBUv_47185,EPG_R8_56356,EB,17,ER_R_MBUv,EPG_R8,MBUv,EPG,0.0,0.002964771538193233,0.0,0.0,5734.0,0.0
47232,56356,ER_R_LAL_47232,EPG_R8_56356,EB,15,ER_R_LAL,EPG_R8,LAL,EPG,0.0,0.0026159748866410883,0.0,0.0,5734.0,0.0
125560,56356,ER_L_LBU_125560,EPG_R8_56356,EB,15,ER_L_LBU,EPG_R8,LBU,EPG,0.0,0.0026159748866410883,0.0,0.0,5734.0,0.0
55944,56356,EPG_L2_55944,EPG_R8_56356,EB,15,EPG_L2,EPG_R8,EPG,EPG,0.0,0.0026159748866410883,0.0,0.0,5734.0,0.0
64276,56356,EPG_R8_64276,EPG_R8_56356,EB,14,EPG_R8,EPG_R8,EPG,EPG,0.0,0.002441576560865016,0.0,0.0,5734.0,0.0
125099,56356,ER_L_MBUv_125099,EPG_R8_56356,EB,14,ER_L_MBUv,EPG_R8,MBUv,EPG,0.0,0.002441576560865016,0.0,0.0,5734.0,0.0
125189,56356,ER_L_MBUv_125189,EPG_R8_56356,EB,13,ER_L_MBUv,EPG_R8,MBUv,EPG,0.0,0.002267178235088943,0.0,0.0,5734.0,0.0
55952,56356,EPG_L2_55952,EPG_R8_56356,EB,12,EPG_L2,EPG_R8,EPG,EPG,0.0,0.0020927799093128706,0.0,0.0,5734.0,0.0
64154,56356,ER_L_MBUv_64154,EPG_R8_56356,EB,11,ER_L_MBUv,EPG_R8,MBUv,EPG,0.0,0.0019183815835367981,0.0,0.0,5734.0,0.0
64133,56356,ER_R_MBUv_64133,EPG_R8_56356,EB,10,ER_R_MBUv,EPG_R8,MBUv,EPG,0.0,0.0017439832577607255,0.0,0.0,5734.0,0.0
125035,56356,ER_L_MBUv_125035,EPG_R8_56356,EB,10,ER_L_MBUv,EPG_R8,MBUv,EPG,0.0,0.0017439832577607255,0.0,0.0,5734.0,0.0
139934,56356,ER_L_LBU_139934,EPG_R8_56356,EB,10,ER_L_LBU,EPG_R8,LBU,EPG,0.0,0.0017439832577607255,0.0,0.0,5734.0,0.0
125199,56356,ER_L_MBUv_125199,EPG_R8_56356,EB,10,ER_L_MBUv,EPG_R8,MBUv,EPG,0.0,0.0017439832577607255,0.0,0.0,5734.0,0.0
125261,56356,ER_L_MBUv_125261,EPG_R8_56356,EB,9,ER_L_MBUv,EPG_R8,MBUv,EPG,0.0,0.001569584931984653,0.0,0.0,5734.0,0.0
184355,56356,ER_R_MBUd_184355,EPG_R8_56356,EB,9,ER_R_MBUd,EPG_R8,MBUd,EPG,0.0,0.001569584931984653,0.0,0.0,5734.0,0.0
56383,56356,EPG_R8_56383,EPG_R8_56356,EB,9,EPG_R8,EPG_R8,EPG,EPG,0.0,0.001569584931984653,0.0,0.0,5734.0,0.0
