type,subtype,mirrored_subtype
Delta7,L1L9R8,L8R1R9
Delta7,L2R7,L7R2
Delta7,L3R6,L6R3
Delta7,L4R5,L5R4
Delta7,L5R4,L4R5
Delta7,L6R3,L3R6
Delta7,L7R2,L2R7
Delta7,L8R1R9,L1L9R8
EPG,R9,L9
EPG,R8,L8
EPG,R7,L7
EPG,R6,L6
EPG,R5,L5
EPG,R4,L4
EPG,R3,L3
EPG,R2,L2
EPG,R1,L1
EPG,L1,R1
EPG,L2,R2
EPG,L3,R3
EPG,L4,R4
EPG,L5,R5
EPG,L6,R6
EPG,L7,R7
EPG,L8,R8
EPG,L9,R9
PEG,R9,L9
PEG,R8,L8
PEG,R7,L7
PEG,R6,L6
PEG,R5,L5
PEG,R4,L4
PEG,R3,L3
PEG,R2,L2
PEG,R1,L1
PEG,L1,R1
PEG,L2,R2
PEG,L3,R3
PEG,L4,R4
PEG,L5,R5
PEG,L6,R6
PEG,L7,R7
PEG,L8,R8
PEG,L9,R9
PEN_a,R9,L9
PEN_a,R8,L8
PEN_a,R7,L7
PEN_a,R6,L6
PEN_a,R5,L5
PEN_a,R4,L4
PEN_a,R3,L3
PEN_a,R2,L2
PEN_a,L2,R2
PEN_a,L3,R3
PEN_a,L4,R4
PEN_a,L5,R5
PEN_a,L6,R6
PEN_a,L7,R7
PEN_a,L8,R8
PEN_a,L9,R9
PEN_b,R9,L9
PEN_b,R8,L8
PEN_b,R7,L7
PEN_b,R6,L6
PEN_b,R5,L5
PEN_b,R4,L4
PEN_b,R3,L3
PEN_b,R2,L2
PEN_b,L2,R2
PEN_b,L3,R3
PEN_b,L4,R4
PEN_b,L5,R5
PEN_b,L6,R6
PEN_b,L7,R7
PEN_b,L8,R8
PEN_b,L9,R9
