iff,Catmaid name,% reviewed,Export date,Backbone coordinate,Latest segment IDs,Cell type proposal,Proofreader,Latest update,Ongoing,To split,Completed,Comments,Num. of segs,CATMAID skid,Supervoxel ID,Root ID,Root ID updated
Delta7,Delta7_FS?,0,21/03/2025,,"576460752432195860,576460752478408407,576460752312067501,576460752414464248,576460752451099209,576460752462525953,576460752504294969,576460752443852713,576460752468434586,576460752461044170,576460752338127718,576460752478399191,576460752421352009,576460752421044553,576460752466190625,576460752469041129,576460752452228709,576460752497432843,576460752540043667,576460752388773575,576460752413104359,576460752349743527,576460752417088237,576460752460861712,576460752482728482,576460752428512711,576460752460734540,576460752321865007,576460752358737203,576460752308144593,576460752467633346,576460752453027316,576460752346263081,576460752470817279,576460752421498953,576460752472669048,576460752475286748,576460752496049005,576460752480945778,576460752460614416,576460752549244847,576460752517136307,576460752451740005,576460752494816526,576460752388980481,576460752494617853,576460752452714365,576460752458341540,576460752491935576,576460752479543197,576460752538905840,576460752437422042,576460752413350738,576460752478245078,576460752332575186,576460752522600854,576460752497345035,576460752475418076,576460752434266698,576460752393154333,576460752381778870,576460752475897635",,,30/09/2025,TRUE,FALSE,FALSE,likely no delta7,61,,,,
Delta7,Delta7_L1L9R8_FS,0,21/03/2025,"8929, 31075, 1989","576460752531895344, 576460752484838471",,Griffin,20/08/2025,FALSE,FALSE,TRUE,,1,,89123938646451045,576460752484838471,2025-12-19
Delta7,Delta7_L1L9R8_FS,0,21/03/2025,"8447, 31290, 1891",576460752465321840,,Griffin,28/07/2025,FALSE,FALSE,TRUE,,0,,88015356047723667,576460752465321840,2025-12-19
Delta7,Delta7_L1L9R8_FS,0,21/03/2025,"8157, 31002, 1928","576460752506947446, 576460752496147085",,Griffin,20/08/2025,FALSE,FALSE,TRUE,"Griffin copied the segment ending on 47446, but in neuroglancer when I check double click on any coordinate of that segment it selects the segment ending in 47085 - SE",1,,86872138832689778,576460752496147085,2025-12-19
Delta7,Delta7_L1L9R8_FS,0,21/03/2025,"7929, 31139, 2012",576460752529758329,,Griffin,30/07/2025,FALSE,FALSE,TRUE,,0,,86889731018825366,576460752529758329,2025-12-19
Delta7,Delta7_L1L9R8_FS,0,21/03/2025,"8097, 30190, 2073",576460752441507663,,Griffin,31/07/2025,FALSE,FALSE,TRUE,,0,,86854821524610591,576460752441507663,2025-12-19
Delta7,Delta7_L2R7_FS,0,21/03/2025,"15419, 28771, 1739",576460752475443648,,Griiffin,31/07/2025,FALSE,FALSE,TRUE,,0,126978,103689718935344155,576460752475443648,2025-12-19
Delta7,Delta7_L2R7_FS,0,21/03/2025,"15210, 28678, 1713",576460752470968168,,Stanley/Susanna/Griffin,31/07/2025,FALSE,FALSE,TRUE,,0,128697,103689444057522130,576460752470968168,2025-12-19
Delta7,Delta7_L2R7_FS,0,21/03/2025,"16448, 29795, 1761","576460752433769313, 576460752475296830",,Griffin,20/08/2025,FALSE,FALSE,TRUE,"Griffin copied the segment ending on 9313, but in neuroglancer when I check double click on any coordinate of that segment it selects the segment ending in 96830 - SE",1,128707,105976703121137477,576460752475296830,2025-12-19
Delta7,Delta7_L2R7_FS,0,21/03/2025,"15670, 29244, 1724",576460752480161453,,Griffin,20/08/2025,FALSE,TRUE,TRUE,"2 large chunks of it need to be split from a cube, but all the synaptic parts are complete",0,128800,104833211028219113,576460752480161453,2025-12-19
Delta7,Delta7_L2R7_FS,0,21/03/2025,"15980, 29352, 1758",576460752615871276,,Griffin,01/08/2025,FALSE,FALSE,TRUE,,0,139243,104833211028246413,576460752615871276,2025-12-19
Delta7,Delta7_L3R6_FS,0,21/03/2025,"15138, 29000, 1598","576460752436009734,576460752499781749,576460752470988136,576460752508263423,576460752451015888,576460752503688218,576460752528495598,576460752415172277",,Griffin,01/08/2025,FALSE,TRUE,TRUE,"4 large chunks of it need to be split from a cube, but all the synaptic parts are complete",7,,102563269272775589,576460752436009734,2025-12-19
Delta7,Delta7_L3R6_FS,0,21/03/2025,"14498, 29634, 1668","576460752503693594,576460752443041821,576460752538411309,576460752496129829,576460752503710746,576460752520868174",,Griffin,01/08/2025,FALSE,FALSE,TRUE,"Weird set of ""cannot find root lock"" issues, but these IDs are the whole neuron",5,,101472828615876664,576460752477801890,2025-12-19
Delta7,Delta7_L3R6_FS,0,21/03/2025,"13212, 29438, 1668",576460752518235018,,Griffin,05/08/2025,FALSE,FALSE,TRUE,,0,,99203436616134361,576460752518235018,2025-12-19
Delta7,Delta7_L3R6_FS,0,21/03/2025,"12244, 29124, 1631","576460752475447744, 576460752453214849",,Griffin,06/10/2025,FALSE,FALSE,TRUE,,1,,96951636802424159,576460752453214849,2025-12-19
Delta7,Delta7_L4R5_FS,0,21/03/2025,"18140, 30382, 1559",576460752532118953,,Griffin,11/12/2025,FALSE,TRUE,TRUE,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2025.connectomics.braininbrain.org/nglstate/api/v1/5679743647088640,0,116153,109371445271901900,576460752532118953,2025-12-19
Delta7,Delta7_L4R5_FS,0,21/03/2025,"20676, 27920, 1990",576460752456748819,,Griffin,05/12/2025,FALSE,TRUE,TRUE,a few sections in the middle cut use some cleaning but i did most of it,0,127702,116039983294373602,576460752456748819,2025-12-19
Delta7,Delta7_L4R5_FS,0,21/03/2025,"20215, 28412, 1633",576460752417795639,,Griffin,11/12/2025,FALSE,FALSE,TRUE,could use some cleaning but like it's fine,0,128091,114930850939809970,576460752417795639,2025-12-19
Delta7,Delta7_L4R5_FS,0,21/03/2025,"20062, 28104, 1775",576460752471890335,,Griffin,07/08/2025,FALSE,FALSE,TRUE,,0,128545,113787633724857240,576460752471890335,2025-12-19
Delta7,Delta7_L4R5_FS,0,21/03/2025,"19388, 29380, 1535",576460752407867792,,Griffin,09/08/2025,FALSE,TRUE,TRUE,Large sections of the main body fiber are ommitted - they were too messy to cut and had no branches on them,0,133949,112713960620301849,576460752407867792,2025-12-19
Delta7,Delta7_L4R5_FS,0,21/03/2025,"19289, 27799, 1920",576460752440851021,,Griffin,10/08/2025,FALSE,FALSE,TRUE,Likely L3/R6 type,0,139585,112662283573794618,576460752440851021,2025-12-19
Delta7,Delta7_L4R5_FS,0,21/03/2025,"15180, 30440, 1353","576460752487783670,576460752489384182,576460752530593328,576460752474753369,576460752494718717,576460752456039955,576460752495144229,576460752538447917,576460752538447661,576460752436209237,576460752490140459,576460752425733916,576460752444656443,576460752538448173,576460752436208981,576460752475696591",,Griffin,11/08/2025,TRUE,TRUE,FALSE," CATMAID extension needed? /// Griffin : realllyyy odd structured D7, probably still needs some catmaid. completed everything that is is found.
The part that overlaps with PFNs is done I think? -SE",15,172334,103741395981860548,576460752538448173,2025-12-19
Delta7,Delta7_L5R4_FS,0,21/03/2025,"20187, 28248, 2003","576460752406072366,576460752511011553,576460752521255556",,Griffin,11/08/2025,FALSE,TRUE,TRUE,"Mostly cleaned, one section of main stem needs to be cut",2,,114931675573613973,576460752521255556,2025-12-19
Delta7,Delta7_L5R4_FS,0,21/03/2025,"22229, 27773, 1843",576460752488920265,,Griffin,11/08/2025,FALSE,FALSE,TRUE,,0,,119417408136966588,576460752488748833,2025-12-19
