Cell supertype,Catmaid name,% reviewed,Export date,Backbone coordinate,Latest segment IDs,Cell type proposal,Proofreader,Latest update,Ongoing,To split,Completed,Comments,Num. of segs,Supervoxel ID,Root ID,Root ID updated,CATMAID skid
EPG,EPG_LW_L8_todo_AT_SH,0,20/03/2025,,576460752531531373,,Stanley,23/08/2025,TRUE,FALSE,FALSE,,0,,,,
EPG,EPG_LW_L8_todo_AT_SH,0,20/03/2025,,"576460752464132370,576460752428778197,576460752485374978,576460752454812661,576460752490902315,576460752515789095,576460752387541629,576460752463805202,576460752466865782,576460752478644726,576460752463732801,576460752455659765,576460752434928911,576460752428576455,576460752374062382,576460752435963297,576460752372356336,576460752396598277,576460752451737716,576460752445142366,576460752489479717",,,21/03/2025,TRUE,FALSE,FALSE,,20,,,,
EPG,EPG_LW_L8_todo_AT_SH,0,20/03/2025,,"576460752508839399,576460752463727937,576460752494513750,576460752490206002,576460752482350760,576460752396629509,576460752514341898,576460752371232240,576460752507536688,576460752318715350,576460752410228736,576460752502919194,576460752335786059,576460752319080396,576460752428565959,576460752485376770,576460752435963041,576460752485345026",,,21/03/2025,TRUE,FALSE,FALSE,,17,,,,
EPG,EPG_LW_L8_todo_AT_SH,0,20/03/2025,,"576460752463189483,576460752407226455,576460752485384962,576460752451803252,576460752311519347,576460752422351078,576460752407095127,576460752435964321,576460752423609450,576460752474810193,576460752462999432,576460752408218741,576460752514422026,576460752373962542,576460752444842386,576460752357771409,576460752418850395,576460752458782814,576460752463789330,576460752514386698",,,21/03/2025,TRUE,FALSE,FALSE,,19,,,,
EPG,EPG_LW_L9_todo_AT_SH,0,20/03/2025,"6409, 28887, 2300",576460752498039563,,Sarah,22/12/2025,FALSE,FALSE,TRUE,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2025.connectomics.braininbrain.org/nglstate/api/v1/5762266410516480,0,,,,
EPG,EPG_LW_L9_todo_AT_SH,0,20/03/2025,,"576460752436320534,576460752452242958,576460752479131805,576460752501551539,576460752483523848,576460752343343827,576460752343503858,576460752471470073,576460752345922860,576460752344440708,576460752387465557,576460752377944099,576460752460638638,576460752316084132,576460752446109368,576460752322877815,576460752452569682,576460752341864787,576460752316318628,576460752431788564,576460752432789903,576460752388281429,576460752351461877,576460752350226677,576460752343824260,576460752415184360,576460752425321867,576460752338705336,576460752410193369,576460752343976178,576460752386922325,576460752454896654,576460752419530747,576460752471462393,576460752327330035,576460752388083285,576460752494494550,576460752335912632,576460752320247242,576460752453244942,576460752344617092,576460752518069509,576460752479032733,576460752455305656,576460752471277561,576460752343265304,576460752321509834,576460752415234436,576460752460820142,576460752387285333,576460752322372727,576460752319675468,576460752414975531,576460752431486469,576460752454516750,576460752336814776,576460752471461369,576460752343238386,576460752321006738,576460752326572019,576460752333768660,576460752387397431,576460752352559955,576460752343386610,576460752462012078",,Sarah,21/03/2025,TRUE,FALSE,FALSE,,64,,,,
EPG,EPG_LW_L9_todo_AT_SH,0,20/03/2025,,576460752457028715,,Saroja,23/08/2025,TRUE,FALSE,FALSE,likely PEG,0,,,,
EPG,EPG_LW_L9_todo_AT_SH_MS,0,20/03/2025,,"576460752483888434,576460752318676534,576460752352123275,576460752351649147,576460752317222483,576460752402507336,576460752325961361,576460752497934301,576460752351859851,576460752445988306,576460752483686962,576460752528041479,576460752433005061,576460752528471534,576460752432814853,576460752352262027,576460752353352331,576460752485711666,576460752425627773,576460752318641078,576460752327496866,576460752318113423,576460752350319499,576460752350823291,576460752361708376,576460752316413011,576460752313019988,576460752465276784,576460752352716939,576460752330458031,576460752315828819,576460752317063251,576460752313505108,576460752602590252,576460752327502498,576460752361212760,576460752530255111,576460752316223827,576460752320811958,576460752353361560",,,21/03/2025,TRUE,FALSE,FALSE,,39,,,,
EPG,EPG_LX_L6_MS,0,20/03/2025,,576460752433643203,,Stanley,27/03/2025,FALSE,FALSE,TRUE,"not verified all ends, but largely done",0,,,,
EPG,EPG_LX_L6_MS,0,20/03/2025,,"576460752392585843,576460752361442348,576460752490271275,576460752504476985,576460752319747062,576460752477659714,576460752419142807,576460752440399181",,,21/03/2025,TRUE,FALSE,FALSE,,7,,,,
