Catmaid name,Latest segment IDs,Starting coordinate,Supervoxel ID,Root ID,Root ID updated,Latest update,To split,Completed,# of seg IDs,Comments,CATMAID skid,Comments PT2,Backbone coordinate
EPG_L2_55944,576460753028086028,"23189, 17982, 3080",83427643780810139,576460753028086028,2026-03-19,15/08/2025,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2025.connectomics.braininbrain.org/nglstate/api/v1/5716068668538880,55944,,
EPG_L2_55952,576460752952978497,"23309, 17856, 3106",83410326472625176,576460752952978497,2026-03-19,10/03/2025,FALSE,TRUE,0,done (1st pass),55952,,
PEG_L2_55930,576460753057840791,"23596, 17849, 3193",84536226379530110,576460753057840791,2026-03-19,7/5/2025,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2025.connectomics.braininbrain.org/nglstate/api/v1/5111840623296512,55930,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5762362342637568,
PEG_R8_56351,576460753208275747,"22142, 21871, 3161",81299264147327816,576460753208275747,2026-03-19,10/03/2025,FALSE,TRUE,0,done (1st pass) ,56351,,
EPG_R8_56356,576460753079329289,"23668, 18838, 3799",84573060019079187,576460753079329289,2026-03-19,14/06/2025,FALSE,TRUE,0,preliminary complete,56356,,
EPG_R8_56383,"576460753204982208,576460753102075277","23218, 25222, 3281",83674484141274494,576460753204982208,2026-03-19,28/04/2025,FALSE,TRUE,1,"Issue with overlapping fragments (root lock cannot be established) at: 20396, 21456, 3179 //  'NoneType' at 21339, 22550, 3237 https://neuromancer-seung-import.appspot.com/?json_url=https://global-2025.connectomics.braininbrain.org/nglstate/api/v1/5653038681292800",56383,,
EPG_R8_55936,576460753083932794,"21129, 21073, 3371",79030421903420877,576460753083932794,2026-03-19,28/04/2025,FALSE,TRUE,0,,55936,,
EPG_R8_64276,576460753112188991,"20779, 22933, 3775",77958398066336211,576460753112188991,2026-03-19,10/03/2025,FALSE,TRUE,0,completed,64276,really from column 9??,
EPG_R9_118328,576460753070006447,"24447, 20413, 4524",85753935507251044,576460753070006447,2026-03-19,03/07/2025,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2025.connectomics.braininbrain.org/nglstate/api/v1/5726455107420160,118328,,
EPG_R9_118347,576460753042951280,"21580, 23389, 3959",80228339821878254,576460753042951280,2026-03-19,25/06/2025,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2025.connectomics.braininbrain.org/nglstate/api/v1/5716242178506752,118347,,
EPG_L1_64077,576460753060899885,"21355, 21032, 4027",79032346048740454,576460753060899885,2026-03-19,08/04/2025,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5680330346332160,64077,,
EPG_L1_64084,576460753141602867,"21508, 19231, 3596",78960602915072188,576460753141602867,2026-03-19,02/04/2025,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2025.connectomics.braininbrain.org/nglstate/api/v1/5697298461884416,64084,,
PEG_L1_63988,576460753029530193,"21239, 20098, 3682",78996062165071821,576460753029530193,2026-03-19,03/07/2025,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2025.connectomics.braininbrain.org/nglstate/api/v1/5723604993966080,63988,,
EPG_L3_54939,576460753079296777,"25437, 18090, 2258",87929044384899322,576460753079296777,2026-03-19,25/04/2025,FALSE,TRUE,0,completed,54939,,
