Cell type proposal,Catmaid name,CATMAID skid,Latest segment IDs,Latest update,Starting coordinate,Supervoxel ID,Root ID,Root ID updated,Proofreader,Ongoing,To split,Completed,# Seg IDs,Comments,Comments PT 2,Backbone coordinate
LBU,ER_L_LBU_143094,143094,"576460752929363400,576460752846343630,576460752973958243,576460752792656716,576460753138985320,576460752572104246,576460752801498141,576460752572098102,576460752837634109,576460752596823295,576460752837279924,576460752960588991,576460752782349032,576460752366306067,576460752572765494,576460752846236878,576460752570047792,576460752541475663",10/04/2025,"28572, 21757, 4171",95938711715342684,576460753113265597,2026-03-19,Paulo,FALSE,FALSE,TRUE,17,extended in CATMAID (SH),,
LBU,ER_L_LBU_142921,142921,576460753063104322,08/04/2025,"28873, 24693, 4187",96044264831629417,576460753063104322,2026-03-19,Sarah,FALSE,FALSE,TRUE,0,ok in CATMAID ,,
LBU,ER_L_LBU_141559,141559,"576460752365651877,576460753126763725,576460752412741382,576460753034764847,576460753177236117,576460752359921367,576460752661364839,576460752360288727,576460752762460159,576460753016020498,576460753208940714,576460753103165568,576460752361739991,576460752400533922,576460752873211350,576460753043453929",27/07/2025,"28668, 23064, 4323",95992038029275289,576460753150215730,2026-03-19,Vivien + Griffin,FALSE,FALSE,TRUE,15,extended in CATMAID (SH),99% done. There's a small section that I don't trust and isnt connected to tyhe rest,
LBU,ER_L_LBU_125560,125560,576460753174504354,24/09/2025,"28291, 21510, 4215",94813086686387622,576460753174504354,2026-03-19,Griffin,FALSE,FALSE,TRUE,0,,,
LBU,ER_L_LBU_62979,62979,576460753015422713,27/7/2025,"28778, 23136, 4315",95992038029270807,576460753015422713,2026-03-19,Vivien/Stanley/Griffin,FALSE,FALSE,TRUE,0,,all but one branch done,
LBU,ER_L_LBU_141339,141339,576460753012565924,21/08/2025,"27741, 22515, 4279",93722371151671856,576460753012565924,2026-03-19,Griffin,,,TRUE,0,extended in CATMAID (ES),,
LBU,ER_L_LBU_139934,139934,"576460753134450675,576460753096373863,576460753131140807",28/07/2025,"28198, 24146, 4108",94900772738699080,576460753131140807,2026-03-19,Ebba + Griffin,,,TRUE,2,extended in CATMAID (ES),https://neuromancer-seung-import.appspot.com/?json_url=https://global-2025.connectomics.braininbrain.org/nglstate/api/v1/5646507478876160,
LBU,ER_L_LBU_141367,141367,"576460753208233256,576460753021432020",15/07/2025,"26901, 26387, 3826",91592617128648816,576460753129021821,2026-03-19,Griffin,FALSE,FALSE,TRUE,1,extended in catmaid (ES),,
LBU,ER_L_LBU_141357,141357,"576460753148938068,576460753009575386,576460753150289053,576460753015505019",15/07/2025,"28306, 25372, 3951",94935407355006255,576460753108592073,2026-03-19,Griffin,FALSE,FALSE,TRUE,3,extended in CATMAID (ES),,
LBU,ER_L_LBU_188771,188771,576460753146136055,09/02/2025,"28804, 24483, 4059",96043989953707718,576460753146136055,2026-03-19,Emile,FALSE,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5732657275076608,maybe add branches from CATMAID,
LBU,ER_L_LBU_142952,142952,"576460753087425067,576460753022983531,576460753184333100,576460753121404326",24/07/2025,"27689, 23304, 4308",93740238215583359,576460753017952944,2026-03-19,Griffin,FALSE,FALSE,TRUE,3,"here 576460753087425067,576460753022983531,576460753184333100,576460753121404326",,
LBU,ER_L_LBU_143099,143099,"576460753150208562, 576460753126667924, 576460753091456792",18/07/2025,"28282, 21681, 4128",94812811808492221,576460753044578019,2026-03-19,Griffin,FALSE,FALSE,TRUE,2,extended in CATMAID (SH),,
LBU,ER_L_LBU_146249,146249,"576460753199391343, 576460752952980801",18/07/2025,"28619, 24700, 3948",96043715075784366,576460752974174819,2026-03-19,Stanley + Griffin,FALSE,FALSE,TRUE,1,extended in CATMAID (SH),,
LBU,ER_L_LBU_143024,143024,576460753051554391,18/07/2025,"28837, 22792, 4287",95974170965357238,576460753051554391,2026-03-19,Stanley + Griffin,FALSE,FALSE,TRUE,0,,,
