Cell supertype,Catmaid name,Latest segment IDs,Supervoxel ID,Root ID,Root ID updated,Latest update,Starting coordinate,To split,Completed,# Seg IDs,Comments,Comments continued,CATMAID skid,Backbone coordinate
PEN,PEN_a_L2_112713,576460753058025557,80104644763796350,576460753058025557,2026-03-19,17/06/2025,"21619, 19541, 3788",FALSE,TRUE,0,done (1st pass),could not merge branch here due to distance,112713,
PEN,PEN_b_L2_112687,576460753076697708,78960877792987487,576460753076697708,2026-03-19,12/05/2025,"21149, 19165, 3687",FALSE,TRUE,0,"done (1st pass, RJVR)",,112687,
PEN,PEN_a_L3_63776,"576460752952388950,576460753044046307",82284976321627379,576460752952388950,2026-03-19,12/05/2025,"22572, 17851, 3371",FALSE,TRUE,1,"reasonably complete (a few branches i was not confident about where they continued, and one nonetype error)",,63776,
PEN,PEN_b_L3_63772,576460753130945957,82284426565851872,576460753130945957,2026-03-19,12/05/2025,"22986, 17840, 3185",FALSE,TRUE,0,completed,,63772,
PEN,PEN_b_L4_99084,576460753199397832,84518359315560883,576460753199397832,2026-03-19,10/03/2025,"23797, 17206, 3077",FALSE,TRUE,0,could be patched up,,99084,
PEN,PEN_a_R8_118407,576460753060639199,89039826006855630,576460753060639199,2026-03-19,02/04/2025,"25818, 17930, 3164",FALSE,TRUE,0,complete just need to merge,,118407,
PEN,PEN_b_R8_118376,576460752927705095,89039276251068775,576460752927705095,2026-03-19,09/01/2025,"25874, 17856, 2994",FALSE,TRUE,0,"Mostly complete, still missing branches",,118376,
PEN,PEN_a_R9_108339,576460752943198678,84572785141140060,576460752943198678,2026-03-19,12/05/2025,"23947, 18820, 3660",FALSE,TRUE,0,done (1st pass) ,,108339,
PEN,PEN_b_R9_108315,576460752946432257,89057693070852696,576460752946432257,2026-03-19,12/05/2025,"25864, 18012, 3298",FALSE,TRUE,0,done (1st pass) ,,108315,
PEN,PEN_b_R9_64257,576460753161379681,87949660227915017,576460753161379681,2026-03-19,10/03/2025,"25447, 18472, 3344",FALSE,TRUE,0,done (1st pass) ,,64257,
