Cell supertype,Catmaid name,% reviewed,Export date,Starting coordinate,Latest segment IDs,Cell type proposal,Proofreader,Latest update,Ongoing,To split,Completed,Comments,CATMAID skid,,# segs
PEN,PEN_RW_R9_SH_MT5,0,13/09/2023,"25680,14754,3334","504403158288947156,504403158281210287,504403158281210287,504403158281210287,504403158281210287,504403158281210287,504403158457795361,504403158457795361,504403158401916116,504403158401916116,504403158336867732,504403158485652414,504403158467452065,504403158467452065,504403158467452065,504403158423866395,504403158405233729,",,,,FALSE,FALSE,FALSE,,,,17
PEN,PEN_RW_R9_MS_SH_MT4,0,13/09/2023,"25086,14544,3284","504403158500187328,504403158274133788,504403158281195439,504403158372716638,504403158430740750,504403158411557588,504403158400989652,504403158400989652,504403158303756868,504403158303756868,504403158303756868,504403158459930273,504403158307371331,504403158486589636,504403158301779106,",,,,FALSE,FALSE,FALSE,,,,15
PEN,PEN_RW_R9_MS_SH_MT3,0,13/09/2023,"24645,14294,3360","504403158455572384,504403158375330956,504403158455288584,504403158455288584,504403158455288584,504403158455288584,504403158500187328,504403158442113527,504403158442113527,504403158292353432,504403158442113527,504403158442113527,504403158397962282,504403158430729230,504403158303754564,504403158309921747,504403158309921747,504403158320576977,504403158361604318,504403158361604318,504403158374372936,504403158270296305,504403158301779106,504403158301779106,",,,,FALSE,FALSE,FALSE,,,,24
PEN,PEN_RW_R8_MS,0,13/09/2023,"28458,16320,3066","504403158390478549,504403158265499941,504403158265499941,504403158271774367,504403158271774367,504403158282876078,504403158282229404,504403158282229404,504403158282229404,504403158282229404,504403158282229404,504403158378016200,504403158296586171,504403158296586171,504403158354838876,504403158354838876,504403158347242268,504403158347242268,504403158493617694,504403158347242268,",,,,FALSE,FALSE,FALSE,,,,20
PEN,PEN_RW_R8_MS,0,13/09/2023,"25510,15976,3128","504403158500187328,504403158286550415,504403158314494551,504403158314494551,504403158387017524,504403158314597409,504403158398696746,504403158398696746,504403158462498267,504403158462498267,504403158462498267,504403158469618576,504403158373332475,504403158383647081,504403158383647081,504403158415621686,",,,,FALSE,FALSE,FALSE,,,,16
PEN,PEN_a_L2_112713,0,13/09/2023,"21018,12418,3064","504403158509692859,504403158424721764,504403158377349914,504403158353476347,504403158509445051,504403158446241588,504403158430023552,504403158390900062,504403158303246363,504403158471825276,504403158303362075,504403158439690545,504403158359072459,504403158353787131,504403158418758649,504403158333713246,504403158462430213,504403158472451994,504403158482182929,504403158570437454,504403158507675067,504403158438246170,504403158374340874,504403158319069687,504403158354775035,504403158318223607,504403158486249489,504403158354447203,504403158333962846,504403158416139257,504403158428551296,504403158302560242,504403158334517086,504403158416003833,504403158415553859,504403158299743201,504403158570450254,504403158356035275,504403158444872858,504403158465367918,504403158471385212,504403158324409879,504403158463650572,504403158353110267,504403158359791715,504403158462373998,504403158471107951,504403158379797024,504403158416740173,504403158419056996,504403158414635001,504403158424344115,504403158452521668,504403158380097824,504403158362550124,504403158441889783,504403158423206500,504403158351717870,504403158366374131,504403158483011572,504403158479797043,504403158508785339,504403158351553006,504403158304498198,504403158335161950,504403158460790071,504403158351550357,504403158417199949,504403158352829513,504403158419810637,504403158409179482,504403158445249434,504403158418240845,504403158424188979,504403158350932373,504403158359212899,504403158415879491,504403158484249361,504403158471828348,504403158461926650,504403158333856350,504403158419266553,504403158352718665,504403158460705292,504403158353465749,504403158479219507,504403158485303202,504403158452595652,504403158328590406,504403158301670381,504403158483314932,504403158424569188,504403158472572284,504403158441876727,504403158353108987,504403158450588100,504403158452596164,504403158399837224,504403158508820155,504403158447394756,504403158482053905,504403158302413595,504403158387770433,504403158501069698,504403158464148218,504403158388213825,504403158509358779,504403158473246599,504403158502386037,504403158333540446,504403158371939575,504403158510185915,504403158296000441,504403158360288203,504403158339119097,504403158435912588,504403158422295538,504403158353513944,504403158501114242,504403158359769443,504403158355985915,504403158377386778,504403158486071004,504403158464453626,504403158330208838,504403158324402455,504403158376801898,504403158346034816,504403158521215314,504403158425148211,504403158388999489,504403158358277987,504403158295082150,504403158447139994,504403158521569618,504403158334378846,504403158323019494,504403158424853043,504403158355490555,504403158424681267,504403158488772625,504403158293674622,504403158416832845,504403158510184635,504403158489386513,504403158415010757,504403158481068297,504403158358273379,504403158509070267,504403158280627537,504403158380131690,504403158425152051,504403158416306937,504403158418121805,504403158421359204,504403158471989672,504403158345539200,504403158388527642,504403158294741576,504403158357557859,504403158570447182,504403158365570291,504403158508946107,504403158360163427,504403158353175701,504403158504324338,504403158346545792,504403158329400646,504403158487963409,504403158333685854,504403158486398225,504403158441232379,504403158372449132,504403158327929158,504403158463926796,504403158430449103,504403158360403023,504403158355515899,504403158335002718,504403158374483978,504403158309319963,504403158346728320,504403158522363474,504403158522738770,504403158414107744,504403158427159168,504403158464134138,504403158353459195,504403158424755279,504403158296015782,504403158570433870,504403158388658497,504403158410645594,504403158303388955,504403158405028489,504403158390910814,504403158462424837,504403158325911711,504403158464720634,504403158360942671,504403158400267560,504403158380858945,504403158354318997,504403158458393356,504403158334456175,504403158376231274,504403158332570206,504403158302006406,504403158338300783,504403158358996835,504403158303771163,504403158417076813",PEN-L2,Stanley,20/01/2024,TRUE,FALSE,FALSE,,112713,,211
PEN,PEN_b_L2_112687,0,13/09/2023,"20987,12449,3122","504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158480938975,504403158480938975,504403158480938975,504403158343635449,504403158342926329,504403158364493555,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158318653892,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158322297479,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158393157726,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158375652526,504403158375652526,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158313026360,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158345608554,504403158537091175,504403158345608554,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158349985273,504403158349985273,504403158349985273,504403158349985273,504403158349985273,504403158349985273,504403158349985273,504403158349985273,504403158353613168,504403158353613168,504403158355790192,504403158355790192,504403158410697054,504403158410697054,504403158410697054,504403158410697054,504403158410697054,504403158410697054,504403158410697054,504403158410697054,504403158410697054,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158336622191,504403158337994607,504403158337994607,504403158337994607,504403158378119194,504403158377448474,504403158378119194,504403158537091175,504403158377448474,504403158537091175,504403158356785264,504403158537091175,504403158356785264,504403158356785264,504403158356785264,504403158356785264,504403158356785264,504403158537091175,504403158537091175,504403158537091175,504403158292500350,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158300626566,504403158302093958,504403158299642917,504403158537091175,504403158296990192,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158419982301,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158364493555,504403158364493555,504403158364493555,504403158355653848,504403158356545752,504403158356548312,504403158370962284,504403158356548312,504403158370962284,504403158370962284,504403158370962284,504403158387910170,504403158387751450,504403158370962284,504403158356548312,504403158356548312,504403158333188190,504403158333188190,504403158537091175,504403158333188190,504403158333188190,504403158537091175,504403158333188190,504403158333188190,504403158370962284,504403158370962284,504403158370962284,504403158537091175,504403158333989982,504403158334403422,504403158334403422,504403158537091175,504403158370962284,504403158370962284,504403158356548312,504403158356548312,504403158356548312,504403158537091175,504403158356548312,504403158356548312,504403158537091175,504403158356548312,504403158326741407,504403158537091175,504403158370962284,504403158537091175,504403158370962284,504403158537091175,504403158537091175,504403158375652526,504403158537091175,504403158390907742,504403158403104094,504403158403104094,504403158403104094,504403158537091175,504403158403632734,504403158537091175,504403158387910170,504403158537091175,504403158370962284,504403158537091175,504403158348571148,504403158350876309,504403158370962284,504403158370962284,504403158537091175,504403158370962284,504403158370962284,504403158473823425,504403158370962284,504403158370962284,504403158473823425,504403158370962284,504403158349084288,504403158473823425,504403158473823425,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158473711297,504403158537091175,504403158537091175,504403158472875201,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158375884873,504403158472875201,504403158356785264,504403158356785264,504403158356785264,504403158356785264,504403158356785264,504403158356785264,504403158356785264,504403158356785264,504403158356785264,504403158356785264,504403158332627270,504403158332627270,504403158332627270,504403158332627270,504403158332627270,504403158332627270,504403158332627270,504403158332627270,504403158356785264,504403158356785264,504403158356785264,504403158471240226,504403158471240226,504403158471240226,504403158471240226,504403158471240226,504403158291817871,504403158283807914,504403158283807914,504403158291817871,504403158290712448,504403158290955904,504403158291721359,504403158292994176,504403158291817871,504403158291817871,504403158291817871,504403158291817871,504403158480692496,504403158300626566,504403158537091175,504403158311409947,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158302093958,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158302093958,504403158537091175,504403158537091175,504403158358531705,504403158537091175,504403158302093958,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158302093958,504403158537091175,504403158537091175,504403158359395705,504403158537091175,504403158302093958,504403158537091175,504403158537091175,504403158447328708,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158424371737,504403158447328708,504403158537091175,504403158537091175,504403158371094116,504403158537091175,504403158537091175,504403158447328708,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158447328708,504403158374353764,504403158537091175,504403158326377542,504403158447328708,504403158374353764,504403158537091175,504403158423570519,504403158447309252,504403158374353764,504403158537091175,504403158423570519,504403158447309252,504403158374353764,504403158537091175,504403158423570519,504403158447309252,504403158374353764,504403158537091175,504403158423570519,504403158537091175,504403158399494295,504403158399494295,504403158419790793,504403158423570519,504403158537091175,504403158407156421,504403158419790793,504403158423570519,504403158537091175,504403158407156421,504403158402001303,504403158423570519,504403158537091175,504403158312896824,504403158537091175,504403158407156421,504403158402001303,504403158423570519,504403158537091175,504403158407156421,504403158402001303,504403158423570519,504403158537091175,504403158402001303,504403158402001303,504403158537091175,504403158537091175,504403158402001303,504403158402001303,504403158537091175,504403158537091175,504403158402001303,504403158402001303,504403158537091175,504403158410596958,504403158402001303,504403158402001303,504403158537091175,504403158410596958,504403158402001303,504403158402001303,504403158537091175,504403158410596958,504403158402001303,504403158402001303,504403158537091175,504403158410596958,504403158384300566,504403158402001303,504403158537091175,504403158480927967,504403158402001303,504403158402001303,504403158537091175,504403158537091175,504403158402001303,504403158402001303,504403158537091175,504403158537091175,504403158537091175,504403158402001303,504403158537091175,504403158480927967,504403158399494295,504403158402001303,504403158537091175,504403158480927967,504403158537091175,504403158298460290,504403158537091175,504403158480927967,504403158537091175,504403158298460290,504403158537091175,504403158537091175,504403158298460290,504403158537091175,504403158399768616,504403158537091175,504403158298460290,504403158537091175,504403158537091175,504403158298460290,504403158537091175,504403158537091175,504403158307864598,504403158537091175,504403158537091175,504403158537091175,504403158298460290,504403158537091175,504403158537091175,504403158537091175,504403158298460290,504403158537091175,504403158537091175,504403158378498871,504403158537091175,504403158537091175,504403158397112983,504403158537091175,504403158537091175,504403158423511753,504403158537091175,504403158537091175,504403158423511753,504403158537091175,504403158537091175,504403158537091175,504403158423511753,504403158311409947,504403158537091175,504403158537091175,504403158302093958,504403158537091175,504403158300215174,504403158537091175,504403158537091175,504403158323019494,504403158323019494,504403158323019494,504403158437281836,504403158437281836,504403158437281836,504403158437281836,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158537091175,504403158472451994,504403158472451994,504403158485303202,504403158485303202,504403158485303202,504403158500187328,504403158500187328,504403158323019494,504403158323019494,",PEN-L2,Stanley,21/12/2022,TRUE,FALSE,FALSE,,112687,,648
PEN,PEN_b_L3_63772,0,13/09/2023,"21193,12414,3070","504403158298251016, 504403158311742631, 504403158314621588, 504403158359745610, 504403158359899210, 504403158396442839, 504403158416156620, 504403158445046619, 504403158447926636, 504403158450329089, 504403158450563069, 504403158469925952, 504403158478347537, 504403158481313289, 504403158483310068, 504403158487202028, 504403158517130379, 504403158523236371, 504403158531158059, 504403158531812139, 504403158557679268",PEN-L3,Atticus,12/01/2024,TRUE,FALSE,FALSE,,63772,,20
PEN,PEN_a_L3_63776,6,13/09/2023,"21141,12109,3066","504403158284371370, 504403158284949888, 504403158285556608, 504403158286631594, 504403158287670656, 504403158288131200, 504403158288264832, 504403158291399498, 504403158291455306, 504403158293198621, 504403158295011487, 504403158305727062, 504403158310541154, 504403158314049940, 504403158375385655, 504403158384799647, 504403158408070572, 504403158408357548, 504403158412255660, 504403158428587499, 504403158429716715, 504403158436698081, 504403158439306997, 504403158441464053, 504403158447279014, 504403158447710118, 504403158450524157, 504403158461247646, 504403158462330613, 504403158465075877, 504403158478611566, 504403158491153090",PEN-L3,Stanley,12/01/2024,TRUE,FALSE,FALSE,,63776,,31
PEN,PEN_a_L4_35091,0,13/09/2023,"24448,13544,3074","504403158446199092,504403158348880072,504403158348880072,504403158423615254,504403158423615254,504403158379015986,504403158393419197,504403158379014706,504403158379014706,504403158473812268,504403158473812268,504403158473812268,504403158473812268,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158319944036,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158348304107,504403158355669641,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158472041006,504403158522330194,504403158480939487,504403158480939487,504403158480939487,504403158480939487,504403158347228784,504403158480939487,504403158480939487,504403158480939487,504403158480939487,504403158327218502,504403158327218502,504403158327218502,504403158327218502,504403158327218502,",PEN-L4,Stanley,21/12/2022,TRUE,FALSE,FALSE,,35091,unsure ,109
