Cell supertype,Catmaid name,CATMAID skid,Export date,Starting coordinate,Latest segment IDs,Supervoxel ID,Root ID,Root ID updated,Cell type proposal,Proofreader,Latest update,Ongoing,To split,Completed,# of seg IDs,Comments,Comments PT2
delta7,delta7_L_L4R5_83239,83239,24/03/2025,"51074, 3377, 1998",504403158367959579,99712510499753455,504403158367959579,2026-03-19,,GSB,12/01/2026,FALSE,FALSE,TRUE,1,,
delta7,delta7_L_L5R4_84500,84500,24/03/2025,"51703, 6011, 2278",504403158398551996,102320552080921161,504403158398551996,2026-03-19,,GSB,22/01/2026,FALSE,FALSE,TRUE,1,,
delta7,delta7_L_L5R4_75297,75297,24/03/2025,"50876, 6571, 2359",504403158410204407,97889520220953632,504403158410204407,2026-03-19,,GSB,27/01/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L_L5R4_75302,75302,24/03/2025,"50598, 6883, 2394","504403158356178366, 504403158364767195",97962087988331716,504403158356178366,2026-03-19,,GSB,13/02/2026,FALSE,FALSE,TRUE,1,,
delta7,delta7_L_L5R4_75326,75326,24/03/2025,"50682, 7605, 2236",504403158391854418,98028058686035570,504403158391854418,2026-03-19,,Clara & GSB,28/01/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L5R4_84466,84466,24/03/2025,"51865, 4996, 2021",504403158416933483,102175416545992022,504403158416933483,2026-03-19,,GSB,13/02/2026,FALSE,FALSE,TRUE,0,found the correct neuron,
delta7,delta7_L_L6R3_84617,84617,24/03/2025,"51391, 4818, 2491",504403158379741171,99932412825442812,504403158379741171,2026-03-19,,Stanley & GSB,28/01/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L_L8R1_83698,83698,24/03/2025,"50144, 5066, 2168",504403158354659322,95422216128259767,504403158354659322,2026-03-19,,GSB,10/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L_L8R1_81019,81019,24/03/2025,"48921, 4006, 2300",504403158352953443,88530477245273867,504403158352953443,2026-03-19,,Stanley & GSB,29/01/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L_L8R1_83758,83758,24/03/2025,"48399, 5031, 2088",504403158334384008,86412817850304205,504403158334384008,2026-03-19,,Stanley & GSB,29/01/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L_L8R1_78122,78122,24/03/2025,"48441, 5144, 2029",504403158352955491,86412817850224695,504403158352955491,2026-03-19,,Stanley & GSB,31/01/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L_L8R1_84265,84265,24/03/2025,"47852, 4576, 2055",504403158334389640,84090649292381434,504403158334389640,2026-03-19,,Stanley & GSB,31/01/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L_L1L9_81004,81004,24/03/2025,"50256, 4444, 2018",504403158356159422,95349648360760423,504403158356159422,2026-03-19,,Stanley & GSB,31/01/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L_L1L9_84275,84275,24/03/2025,"49590, 4326, 2053",504403158377741523,93097848547119598,504403158377741523,2026-03-19,,Stanley & GSB,31/01/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L_L1L9_81014,81014,24/03/2025,"49345, 3763, 2057",504403158353841140,90775679989265782,504403158353841140,2026-03-19,,Stanley & GSB,31/01/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L_L1L9_76634,76634,24/03/2025,"50567, 3899, 2023",504403158379218731,97531079430270761,504403158379218731,2026-03-19,,Atticus/Stanley.GSB,31/01/2026,FALSE,FALSE,TRUE,0,"hard - GSB: small section at one end is uncompleted, but it's very small and i think only one or two branches, and i dont think anything else is well completed there so ighnoring",name updated from CATMAID: https://neuromancer-seung-import.appspot.com/?json_url=https://global-2025.connectomics.braininbrain.org/nglstate/api/v1/5643893588623360
delta7,delta7_L_L1L9_82977,82977,24/03/2025,"50545, 3679, 2061",504403158340392572,97460710686128237,504403158340392572,2026-03-19,,"Stanley, GSB",02/02/2026,FALSE,FALSE,TRUE,0,preliminary pass done,
delta7,delta7_L5R4_84466,84466,24/03/2025,"51859, 4902, 2039",504403158416933483,102175416546009979,504403158416933483,2026-03-19,,GSB,02/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L6R3_82632,82632,24/03/2025,"50466, 6473, 2298",504403158318952515,95637720407219020,504403158318952515,2026-03-19,,GSB,02/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L6R3_83232,83232,24/03/2025,"50322, 6610, 2272",504403158348723591,95635521384065991,504403158348723591,2026-03-19,,"Stanley, GSB",03/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L6R3_83744,83744,24/03/2025,"50343, 7189, 2294","504403158354830960, 504403158416156419",95708089151391982,504403158416156419,2026-03-19,,GSB,13/02/2026,FALSE,FALSE,TRUE,1,,
delta7,delta7_L6R3_86277,86277,24/03/2025,"50832, 5776, 2126","504403158334236803,504403158368002761",97814753430251057,504403158368002761,2026-03-19,,"Stanley, GSB",18/03/2026,FALSE,FALSE,TRUE,1,,
delta7,delta7_L6R3_80994,80994,24/03/2025,"50662, 6411, 2114",504403158368375180,97885122174415171,504403158368375180,2026-03-19,,"Stanley, GSB",04/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L7R2R10_83735,83735,24/03/2025,"49669, 3038, 2523",504403158319826189,92897737430830236,504403158319826189,2026-03-19,,"Stanley, GSB",04/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L7R2R10_84530,84530,24/03/2025,"50259, 3503, 2523",504403158415719628,95219905988696109,504403158415719628,2026-03-19,,"Stanley, GSB",04/02/2026,FALSE,FALSE,TRUE,0,unlikely but possible that i missed some small dendrites off the main chunk,
delta7,delta7_L_L7R2R10_84216,84216,24/03/2025,"50560, 3437, 2224","504403158355278392, 504403158356179134",97465108732615256,504403158355278392,2026-03-19,,GSB,13/02/2026,FALSE,FALSE,TRUE,1,,
delta7,delta7_L7R2R10_82595,82595,24/03/2025,"50134, 3127, 2440",504403158360273971,95147338221275172,504403158360273971,2026-03-19,,GSB,07/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_L7R2R10_83765,83765,24/03/2025,"49016, 3400, 2376",504403158352937980,88460108501193889,504403158352937980,2026-03-19,,"Stanley, GSB",07/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_R_L2L10R7_83722,83722,24/03/2025,"51111, 3900, 2100",504403158359414054,99785078267190558,504403158359414054,2026-03-19,,Stanley,18/06/2025,FALSE,FALSE,TRUE,0,,
delta7,delta7_R_L2L10R7_84178,84178,24/03/2025,"51265, 4383, 2027",504403158332002383,99853247988140442,504403158332002383,2026-03-19,,Stanley/Atticus,08/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_R_L2L10R7_84473,84473,24/03/2025,"50831, 3504, 2054",504403158353091426,97460710686121990,504403158353091426,2026-03-19,,Atticus,08/06/2025,FALSE,FALSE,TRUE,0,"Not sure if it continues beyond (52756, 1370, 2278). Big image gap",
delta7,delta7_R_L2L10R7_42181,42181,24/03/2025,"50912, 3130, 2013",504403158360580541,97390341941893463,504403158360580541,2026-03-19,,Atticus/Stanley,12/06/2025,FALSE,FALSE,TRUE,0,"have extended a few branches, and more to do",
delta7,delta7_R_L3R6_82590,82590,24/03/2025,"51758, 4021, 2100",504403158370060079,102036878080876699,504403158370060079,2026-03-19,,GSB,09/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_R_L3R6_84354,84354,24/03/2025,"51152, 4740, 2032",504403158342021045,99853247988145569,504403158342021045,2026-03-19,,GSB,10/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_R_L3R6_84631,84631,24/03/2025,"50443, 3074, 2105",504403158399167229,95140741151471698,504403158399167229,2026-03-19,,GSB,10/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_R_L3R6_81527,81527,24/03/2025,"52288, 3438, 2081",504403158364680312,104216110127186662,504403158364680312,2026-03-19,,GSB,11/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_R_L3R6_81541,81541,24/03/2025,"52654, 2462, 2273",504403158364685176,106331570499033627,504403158364685176,2026-03-19,,GSB,11/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_R_L3R6_79852,79852,,,,,,,,,,FALSE,FALSE,FALSE,,,
delta7,delta7_R_L4R5_110806,110806,24/03/2025,"52801, 2346, 2254",504403158404460790,106331570499016349,504403158404460790,2026-03-19,,GSB,11/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_R_L4R5_83112,83112,24/03/2025,"52267, 3991, 2120",504403158351189133,104288677894583893,504403158351189133,2026-03-19,,GSB,11/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_R_L4R5_84303,84303,24/03/2025,"51695, 3414, 2115",504403158367045669,101966509336717330,504403158367045669,2026-03-19,,GSB,13/02/2026,FALSE,FALSE,TRUE,0,,
delta7,delta7_R_L4R5_81522,81522,24/03/2025,"51539, 3123, 2052",504403158325636609,99642141755614856,504403158325636609,2026-03-19,,GSB,12/02/2026,FALSE,FALSE,TRUE,0,,
