Catmaid name,CATMAID skid,Latest segment IDs,Starting coordinate,Supervoxel ID,Root ID,Root ID updated,Proofreader,Latest update,Ongoing,To split,Completed,Comments
EPG_L2_55944,55944,576460752521344750,"34780, 7584, 1646",84567562460932612,576460752521344750,2026-03-19,Nina,12/10/2023,FALSE,FALSE,TRUE,partial cell only - but as complete as possible
EPG_L2_55952,55952,576460752510496133,"32249, 7860, 1809",78956204868541358,576460752510496133,2026-03-19,Nina,06/10/2023,FALSE,FALSE,TRUE,"partial cell only, some cube chunks remain; 576460752510496133"
EPG_L3_54939,54939,"576460752494001689, 576460752504703640","36236, 10336, 1597",88050815297660317,"576460752494001689, 576460752504703640",2026-03-19,Stanley/Marcel/Atticus,06/12/2023,FALSE,TRUE,TRUE,"completed, 2 segments remain due to NoneType error; needs to be split at 35813, 9137, 1656 (but none-type)"
EPG_L3_57518,57518,"576460752372935125, 576460752440175329, 576460752464640638, 576460752477929499, 576460752486225219, 576460752494241445, 576460752497676789, 576460752497677301, 576460752499628133, 576460752504504411, 576460752517800223, 576460752518049641, 576460752528452318, 576460752536591548, 576460752537672270, 576460752541411447, 576460752546774816, 576460752549187934, 576460752555507859, 576460752558720453, 576460752593578707","37061, 10733, 1413",89193757634757229,"576460752372935125, 576460752440175329, 576460752464640638, 576460752477929499, 576460752486225219, 576460752494241445, 576460752497676789, 576460752497677301, 576460752499628133, 576460752504504411, 576460752517800223, 576460752518049641, 576460752528452318, 576460752536591548, 576460752537672270, 576460752541411447, 576460752546774816, 576460752549187934, 576460752555507859, 576460752558720453, 576460752593578707",2026-03-19,Stanley/Atticus,08/09/2024,FALSE,FALSE,TRUE,"completed, 12 segments remain due to NoneType errors main seg: 576460752497676789"
EPG_L3_57529,57529,"576460752460921048, 576460752509771516","36487, 10322, 1612",88050815297667303,"576460752460921048, 576460752509771516",2026-03-19,Stanley/Atticus,04/12/2023,FALSE,FALSE,TRUE,"completed, 2 segments remain due to NoneType error"
EPG_L4_34228,34228,576460752503891791,"41109, 11900, 1162",98235316627845413,576460752503891791,2026-03-19,Nina/Atticus,05/09/2024,FALSE,FALSE,TRUE,MS updated
EPG_L4_34955,34955,576460752496085281,"41005, 11888, 1081",98235316627833953,576460752507658477,2026-03-19,Nina,27/10/2023,FALSE,FALSE,TRUE,
EPG_L4_35304,35304,576460752523677903,"41090, 11857, 1278",98235866383647293,576460752523677903,2026-03-19,Nina,09/10/2023,FALSE,FALSE,TRUE,
EPG_L5_34187,34187,576460752608593309,"43038, 10977, 1612",102705106272681335,576460752608593309,2026-03-19,Nina,05/09/2024,FALSE,FALSE,TRUE,MS updated
EPG_L5_34199,34199,"576460752480749586, 576460752517747664, 576460752581455679","43443, 10635, 1602",103813413993466113,576460752581455679,2026-03-19,Nina,21/10/2023,FALSE,FALSE,TRUE,nonetype; main 576460752581455679
EPG_L5_35471,35471,576460752527831812,"43151, 10619, 1639",102687514086684165,576460752527831812,2026-03-19,Liza/Marcel,06/09/2024,FALSE,FALSE,TRUE,cubes at bottom remain; 576460752490614257; MS updated
EPG_L6_57712,57712,576460752453725753,"47121, 11369, 1684",111730172591344480,576460752453725753,2026-03-19,Nina,11/10/2023,FALSE,FALSE,TRUE,
EPG_L6_59381,59381,576460752546883616,"46761, 11520, 1674",111729897713499934,576460752546883616,2026-03-19,Atticus,26/04/2024,FALSE,FALSE,TRUE,
EPG_L6_60458,60458,576460752541325943,"46323, 11127, 1720",110586680498465813,576460752541325943,2026-03-19,Griffin,05/10/2023,FALSE,FALSE,TRUE,
EPG_L7_61964,61964,576460752579635434,"47940, 5137, 1851",113753548864445362,576460752579635434,2026-03-19,Griffin,07/09/2023,FALSE,FALSE,TRUE,partial cell only
EPG_L7_62456,62456,576460752521480818,"47747, 6459, 1931",113806600300464213,576460752521480818,2026-03-19,Atticus,04/10/2023,FALSE,FALSE,TRUE,partial cell only
PEG_L2_55930,55930,576460752482567425,"32588, 8791, 1677",78991114362683607,576460752482567425,2026-03-19,Marcel/Atticus,26/01/2024,FALSE,TRUE,TRUE,"Segment 576460752597474821 is bugged, refuses to merge"
PEG_L3_99063,99063,576460752499873872,"35947, 10393, 1832",86925465146661011,576460752499873872,2026-03-19,Stanley/Atticus/Nina,23/01/2024,FALSE,FALSE,TRUE,completed -impressive!
PEG_L4_35097,35097,576460752565051890,"40187, 11318, 1130",95965924628136137,576460752565051890,2026-03-19,Nina,24/01/2024,FALSE,FALSE,TRUE,
PEG_L5_42175,42175,576460752519438892,"43353, 10723, 1655",103831006179529405,576460752519438892,2026-03-19,Nina,30/01/2024,FALSE,FALSE,TRUE,"cell 42175, complete"
PEG_L6_60208,60208,576460752550862608,"46268, 10923, 1667",110586405620605141,576460752550862608,2026-03-19,Atticus,25/04/2024,FALSE,FALSE,TRUE,
