Catmaid name,CATMAID skid,Cell type proposal,Latest segment IDs,Latest update,Starting coordinate,Supervoxel ID,Root ID,Root ID updated,Proofreader,Ongoing,To split,Completed,Comments
PEN_a_L2_112713,112713,PEN_a,576460752577093823,22/01/2024,"33644, 8026, 1436",81206905170575247,576460752489132854,2026-03-19,Marcel,FALSE,FALSE,TRUE,"two segments, too far away from each other to be merged"
PEN_b_L2_112687,112687,PEN_b,576460752507193318,25/01/2024,"33713, 9600, 1460",82385581635621235,576460752507193318,2026-03-19,Stanley/Nina,FALSE,FALSE,TRUE,
PEN_b_L3_63772,63772,PEN_b,576460752591088521,08/11/2023,"34646, 9792, 1428",83529073728461775,576460752591088521,2026-03-19,Matilda/Stanley/Atticus,FALSE,FALSE,TRUE,chunks at the base
PEN_a_L3_63776,63776,PEN_a,576460752594006960,19/01/2024,"34989, 9776, 1428",84654973635291562,576460752594006960,2026-03-19,Eva/Atticus,FALSE,FALSE,TRUE,
PEN_a_L4_35368,35368,PEN_a,576460752596578281,01/01/2024,"40759, 6469, 1337",98042352337196085,576460752596578281,2026-03-19,Marcel,FALSE,FALSE,TRUE,
PEN_b_L4_99084,99084,PEN_b,576460752478055195,06/09/2024,"41370, 11465, 1147",99343624348685504,576460752478055195,2026-03-19,Atticus,FALSE,FALSE,TRUE,
PEN_a_L4_35091,35091,PEN_a,576460752490348689,20/11/2023,"41598, 11697, 1149",99361216534702532,576460752535931016,2026-03-19,Stanley/Atticus,FALSE,FALSE,TRUE,
PEN_b_L4_35224,35224,PEN_b,576460752508292053,16/01/2024,"42015, 11809, 1157",100487116441546398,576460752508292053,2026-03-19,Nina,FALSE,FALSE,TRUE,
PEN_b_L5_35102,35102,PEN_b,"576460752523851287, 576460752560317598, 576460752562352989",06/09/2024,"43235, 11647, 1288",103847773731821407,"576460752523851287, 576460752560317598, 576460752562352989",2026-03-19,Nina,FALSE,FALSE,TRUE,"check skeleton for one last branch; mostly finished, last segments need to be merged but nonetype errors occurring; main seg 576460752523851287"
PEN_a_L5_34931,34931,PEN_a,576460752516169926,22/12/2023,"43557, 11957, 1570",103865915673702951,576460752516169926,2026-03-19,Nina,FALSE,FALSE,TRUE,mostly finished (one cube chunk that I could not resolve--> narrowed it down a bit....)
PEN_b_L6_34205,34205,PEN_b,576460752461902026,31/12/2023,"46589, 11649, 1771",110604272684527952,576460752461902026,2026-03-19,Nina,FALSE,FALSE,TRUE,
PEN_a_L6_34212,34212,PEN_a,576460752519113568,12/01/2024,"47329, 11399, 1763",112856072498245067,576460752519113568,2026-03-19,Nina,FALSE,FALSE,TRUE,
PEN_L7_118463,118463,PEN-L7,576460752524304545,31/12/2023,"46917, 11718, 1863",111748039655294712,576460752524304545,2026-03-19,Nina,FALSE,FALSE,TRUE,need to wait for PB2 stack
PEN_L7_118524,118524,PEN-L7,576460752523065880,31/12/2023,"46863, 10632, 1943",111695537975098509,576460752523065880,2026-03-19,Nina,FALSE,FALSE,TRUE,need to wait for PB2 stack
