Catmaid name,CATMAID skid,Latest segment IDs,Starting coordinate,Supervoxel ID,Root ID,Root ID updated,Latest update,Cell type proposal,Proofreader,Ongoing,To split,Completed,Comments
delta7_L_L1L9_81004,81004,576460752545395043,"37464, 7360, 1329",90196237361395740,576460752545395043,2026-03-19,21/03/2024,delta7,Nina,FALSE,FALSE,TRUE,"complete (some dendrites with unclear endings, resolved as much as possible)"
delta7_L_L1L9_84275,84275,576460752525921670,"41943, 7451, 1278",100329336522933280,576460752525921670,2026-03-19,21/08/2024,delta7,Nina,FALSE,FALSE,TRUE,
delta7_L_L1L9_81014,81014,576460752581659199,"42737, 7140, 1303",102563544150600591,576460752581659199,2026-03-19,15/04/2024,delta7,Nina,FALSE,FALSE,TRUE,
delta7_L_L1L9_76634,76634,576460752542700737,"43373, 7128, 1526",103689993813283301,576460752542700737,2026-03-19,16/08/2024,delta7,Atticus,FALSE,FALSE,TRUE,"completed (double checked, much less thick branches than other D7 cells)"
delta7_L_L1L9_82977,82977,576460752513584969,"44285, 6875, 1573",105941793627048306,576460752513584969,2026-03-19,09/04/2024,delta7,Nina,FALSE,FALSE,TRUE,
delta7_L_L1L9_78122,78122,576460752485062902,"45427, 7550, 1549",108211185626728382,576460752485062902,2026-03-19,23/01/2024,delta7,Matilda,FALSE,FALSE,TRUE,Faulty message when I try to cut 576460752547011327
delta7_L_L8R1_83698,83698,576460752501151914,"44167, 6347, 1233",104797476900382663,576460752501151914,2026-03-19,06/03/2024,delta7,Nina,FALSE,FALSE,TRUE,"completed (dendrites completed as much as i could, some had unclear endings)"
delta7_L_L8R1_81019,81019,576460752517813148,"44477, 6580, 1292",105923651685077880,576460752517813148,2026-03-19,08/08/2024,delta7,Nina/Atticus,FALSE,FALSE,TRUE,
delta7_L_L8R1_83758,83758,576460752568818536,"45043, 6597, 1316",107049551591935043,576460752568818536,2026-03-19,28/02/2024,delta7,Nina,FALSE,FALSE,TRUE,
delta7_L_L8R1_84265,84265,576460752456839643,"44456, 5514, 1489",105889017068798959,576460752456839643,2026-03-19,25/03/2024,delta7,Nina,FALSE,FALSE,TRUE,"complete (some dendrites with unclear endings, resolved as much as possible)"
delta7_L7R2R10_83735,83735,576460752517927120,"46974, 7295, 1862",111589709980998350,576460752517927120,2026-03-19,07/05/2024,delta7,Nina,FALSE,FALSE,TRUE,
delta7_L7R2R10_84530,84530,576460752443499591,"46829, 8105, 1773",111607027289146620,576460752443499591,2026-03-19,08/10/2024,delta7,Nina/Atticus,FALSE,FALSE,TRUE,
delta7_L_L7R2R10_84216,84216,576460752588788099,"46396, 7606, 1486",110462985440340900,576460752588788099,2026-03-19,20/02/2024,delta7,Nina,FALSE,FALSE,TRUE,
delta7_L7R2R10_82595,82595,576460752448525606,"45807, 6672, 1169",109318393835923438,576460752448525606,2026-03-19,26/09/2024,delta7,Atticus,FALSE,FALSE,TRUE,
delta7_L7R2R10_83765,83765,576460752502120532,"46971, 6360, 1389",111553426097189817,576460752502120532,2026-03-19,24/06/2024,delta7,Nina,FALSE,FALSE,TRUE,
delta7_L6R3_80994,80994,576460752532127661,"37367, 8564, 974",90230322221886978,576460752532127661,2026-03-19,08/10/2023,delta7,Matilda/Nina,FALSE,FALSE,TRUE,MS renamed from L7R2 to L6R3
delta7_L_L6R3_84617,84617,576460752481686074,"38418, 7730, 1654",92466453994899341,576460752481686074,2026-03-19,07/02/2024,delta7,Nina,FALSE,FALSE,TRUE,
delta7_L6R3_82632,82632,576460752612086749,"37818, 9141, 1070",91374089192707219,576460752612086749,2026-03-19,15/04/2024,delta7,Nina,FALSE,FALSE,TRUE,
delta7_L6R3_83232,83232,576460752487539012,"37126, 10107, 1585",89159123018454382,576460752487539012,2026-03-19,07/10/2024,delta7,Atticus,FALSE,FALSE,TRUE,
delta7_L6R3_83744,83744,576460752549370974,"38069, 9982, 1706",91411197710058661,576460752549370974,2026-03-19,15/08/2024,delta7,Atticus,FALSE,FALSE,TRUE,
delta7_L6R3_86277,86277,576460752537470225,"37502, 9277, 1600",90267430739267990,576460752537470225,2026-03-19,25/07/2024,delta7,Bastien/Atticus,FALSE,FALSE,TRUE,
delta7_L5R4_84466,84466,"576460752395259291, 576460752438319492, 576460752479870181, 576460752483981594, 576460752495143132, 576460752504944013, 576460752535814088, 576460752535873928, 576460752551125303, 576460752565045234","38855, 8467, 1722",93610220965620803,"576460752395259291, 576460752438319492, 576460752479870181, 576460752483981594, 576460752495143132, 576460752504944013, 576460752535814088, 576460752535873928, 576460752551125303, 576460752565045234",2026-03-19,22/08/2024,delta7,Stanley/Atticus/Marcel,FALSE,FALSE,TRUE,"bugged overlapping segments @ 40709, 7157, 1072; main seg: 576460752438319492"
delta7_L_L5R4_84500,84500,576460752472134440,"45384, 10064, 1055",108297772167446472,576460752472134440,2026-03-19,01/05/2024,delta7,Atticus,FALSE,FALSE,TRUE,
delta7_L_L5R4_75297,75297,576460752518139753,"43717, 11892, 1294",104991265824712652,576460752518139753,2026-03-19,16/04/2024,delta7,Matilda/Atticus,FALSE,FALSE,TRUE,
delta7_L_L5R4_75302,75302,576460752550400204,"43733, 11691, 1443",104991540702639478,576460752550400204,2026-03-19,01/05/2024,delta7,Matilda/Atticus,FALSE,FALSE,TRUE,
delta7_L_L5R4_75326,75326,576460752456015732,"43263, 11939, 1397",103865640795772137,576460752456015732,2026-03-19,19/10/2023,delta7,Atticus,FALSE,FALSE,TRUE,
delta7_L_L4R5_83239,83239,576460752510702981,"46859, 7111, 1405",111571018283243704,576460752510702981,2026-03-19,16/04/2024,delta7,Atticus,FALSE,FALSE,TRUE,MS renamed from L5R4 to L4R5
delta7_R_L4R5_110806,110806,576460752543834043,"46851, 7672, 1529",111606477533274702,576460752543834043,2026-03-19,23/11/2023,delta7,Stanley/Nina,FALSE,FALSE,TRUE,
delta7_R_L4R5_83112,83112,"576460752506580346, 576460752524132513, 576460752547014143","40468, 9772, 1460",97039872610635488,"576460752506580346, 576460752524132513, 576460752547014143",2026-03-19,17/10/2023,delta7,Stanley,FALSE,FALSE,TRUE,one error that cannot be fixed (overlapping meshes); main seg 576460752547014143
delta7_R_L4R5_84303,84303,576460752546943264,"40579, 10301, 1316",97057189918703851,576460752546943264,2026-03-19,02/05/2024,delta7,Marcel,FALSE,FALSE,TRUE,
delta7_R_L4R5_81522,81522,576460752521710962,"39951, 9383, 1194",95895830761846832,576460752521710962,2026-03-19,30/04/2024,delta7,Stanley/Atticus,FALSE,FALSE,TRUE,
delta7_R_L3R6_82590,82590,576460752523588492,"42323, 7243, 1141",101454686674027437,576460752507668205,2026-03-19,04/10/2024,delta7,Marcel/Atticus,FALSE,FALSE,TRUE,
delta7_R_L3R6_84354,84354,576460752456808411,"43226, 7772, 1561",103725178185436929,576460752456808411,2026-03-19,05/03/2024,delta7,Atticus,FALSE,FALSE,TRUE,
delta7_R_L3R6_84631,84631,576460752550433228,"41193, 8489, 1353",98112721081434894,576460752550433228,2026-03-19,07/08/2024,delta7,Marcel,FALSE,FALSE,TRUE,merge error; main seg 576460752550433228
delta7_R_L3R6_79852,79852,576460752524489121,"43258, 7533, 1240",103706761365615031,576460752524489121,2026-03-19,04/09/2024,delta7,Stanley/Marcel,FALSE,FALSE,TRUE,
delta7_R_L3R6_81527,81527,576460752591033681,"33191, 9014, 1748",80117014269574052,576460752591033681,2026-03-19,28/08/2024,delta7,Stanley/Nina/Atticus/Marcel,FALSE,FALSE,TRUE,
delta7_R_L3R6_81541,81541,"576460752488914742, 576460752532095661","34750, 8521, 1887",84603571466675456,"576460752488914742, 576460752532095661",2026-03-19,06/05/2024,delta7,Stanley/Nina/Atticus,FALSE,FALSE,TRUE,one none type error main seg: 576460752532095661
delta7_R_L2L10R7_83213,83213,576460752550908713,"45700, 5862, 1397",108158134190621911,576460752550908713,2026-03-19,24/06/2024,delta7,Nina,FALSE,FALSE,TRUE,
delta7_R_L2L10R7_83722,83722,576460752608580253,"45608, 5710, 1503",108158409068538182,576460752608580253,2026-03-19,16/08/2024,delta7,Nina,FALSE,FALSE,TRUE,"MS updated, this seems to overlap with L3 a lot and might be something in between..."
delta7_R_L2L10R7_84178,84178,576460752490172734,"44477, 6529, 1525",105924201440921081,576460752490172734,2026-03-19,16/08/2024,delta7,Nina/Marcel,FALSE,FALSE,TRUE,
delta7_R_L2L10R7_84473,84473,"576460752543874747, 576460752545051043","43885, 7444, 1422",104833211028268380,"576460752543874747, 576460752545051043",2026-03-19,,delta7,Laia/Stanley,FALSE,FALSE,TRUE,"the two last segments cannot be joined, overlapping meshes main seg: 576460752543874747"
delta7_R_L2L10R7_42181,42181,576460752583772701,"43007, 7344, 1362",102581136336712373,576460752583772701,2026-03-19,03/09/2024,delta7,Matilda,FALSE,FALSE,TRUE,MS updated
